date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,2850.0,2825.0,2831.0,2895.0,-64.0,9,693,1968110.0
2010-04-19,2830.0,2790.0,2801.0,2820.0,-19.0,16,587,1642908.0
2010-04-20,2798.0,2767.0,2767.0,2801.0,-34.0,11,957,2664289.0
2010-04-21,2712.0,2595.0,2595.0,2767.0,-172.0,35,2207,5852106.0
2010-04-22,2653.0,2523.0,2600.0,2595.0,5.0,12,776,1978618.0
2010-04-25,2600.0,2575.0,2591.0,2600.0,-9.0,18,1488,3845157.0
2010-04-26,2599.0,2519.0,2519.0,2591.0,-72.0,19,798,2034760.0
2010-04-27,2520.0,2450.0,2450.0,2519.0,-69.0,23,1255,3106330.0
2010-04-28,2460.0,2403.0,2445.0,2450.0,-5.0,7,503,1216664.0
2010-04-29,2650.0,2480.0,2650.0,2445.0,205.0,11,552,1423665.0
2010-05-09,2600.0,2560.0,2575.0,2650.0,-75.0,4,151,390000.0
2010-05-10,2610.0,2555.0,2610.0,2575.0,35.0,11,1332,3443120.0
2010-05-11,2762.0,2662.0,2721.0,2610.0,111.0,19,1048,2844615.0
2010-05-12,2881.0,2740.0,2810.0,2721.0,89.0,24,2714,7630083.0
2010-05-13,3020.0,2866.0,2920.0,2810.0,110.0,29,3122,9220300.0
2010-05-16,2901.0,2800.0,2830.0,2920.0,-90.0,24,1209,3442719.0
2010-05-17,2850.0,2744.0,2850.0,2830.0,20.0,16,918,2567600.0
2010-05-18,2920.0,2900.0,2900.0,2850.0,50.0,3,312,906040.0
2010-05-19,2975.0,2890.0,2952.0,2900.0,52.0,14,1083,3170268.0
2010-05-20,2978.0,2935.0,2978.0,2952.0,26.0,16,938,2776018.0
2010-05-23,3015.0,2920.0,3001.0,2978.0,23.0,10,662,1958230.0
2010-05-24,3020.0,2965.0,3020.0,3001.0,19.0,7,286,853810.0
2010-05-25,3120.0,2980.0,3109.0,3020.0,89.0,14,1232,3778304.0
2010-05-26,3200.0,3110.0,3150.0,3109.0,41.0,16,836,2652610.0
