date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-20,203.0,196.0,196.0,207.0,-11.0,3,70,13990.0
2010-04-21,193.0,193.0,193.0,196.0,-3.0,1,100,19300.0
2010-04-22,190.0,190.0,190.0,193.0,-3.0,1,30,5700.0
2010-05-11,187.0,178.0,178.0,190.0,-12.0,4,312,57108.0
2010-05-12,175.0,172.0,172.0,178.0,-6.0,4,338,58826.0
2010-05-13,175.0,169.0,169.0,172.0,-3.0,4,816,138660.0
2010-05-16,166.0,160.0,160.0,169.0,-9.0,4,283,46633.0
2010-05-17,157.0,148.0,148.0,160.0,-12.0,5,900,135900.0
2010-05-19,150.0,150.0,150.0,148.0,2.0,1,80,12000.0
2010-05-26,156.0,153.0,156.0,150.0,6.0,2,93,14433.0
2010-05-31,162.0,159.0,159.0,156.0,3.0,4,320,50940.0
2010-06-01,162.0,162.0,162.0,159.0,3.0,1,20,3240.0
2010-06-02,168.0,162.0,168.0,162.0,6.0,4,102,16704.0
2010-06-03,184.0,171.0,184.0,168.0,16.0,8,2856,522672.0
2010-06-06,202.0,187.0,196.0,184.0,12.0,11,836,165462.0
2010-06-07,206.0,199.0,202.0,196.0,6.0,8,892,180450.0
2010-06-08,206.0,202.0,202.0,202.0,,5,292,59072.0
2010-06-15,198.0,192.0,192.0,202.0,-10.0,3,175,33981.0
2010-06-17,190.0,190.0,190.0,192.0,-2.0,1,25,4750.0
2010-06-20,187.0,187.0,187.0,190.0,-3.0,1,100,18700.0
2010-06-21,184.0,184.0,184.0,187.0,-3.0,1,17,3128.0
2010-06-22,184.0,184.0,184.0,184.0,,8,136,25024.0
2010-06-23,181.0,181.0,181.0,184.0,-3.0,1,17,3077.0
2010-06-29,181.0,178.0,178.0,181.0,-3.0,18,813,146658.0
2010-07-04,178.0,175.0,175.0,178.0,-3.0,6,172,30565.0
2010-07-07,172.0,172.0,172.0,175.0,-3.0,1,30,5160.0
2010-07-14,175.0,175.0,175.0,172.0,3.0,1,500,87500.0
2010-07-15,172.0,170.0,170.0,175.0,-5.0,2,100,17100.0
2010-07-21,173.0,173.0,173.0,170.0,3.0,1,120,20760.0
2010-07-26,176.0,176.0,176.0,173.0,3.0,1,1386,243936.0
2010-07-29,175.0,173.0,175.0,176.0,-1.0,4,674,117782.0
2010-08-02,175.0,172.0,172.0,175.0,-3.0,2,193,33475.0
2010-08-03,169.0,169.0,169.0,172.0,-3.0,1,500,84500.0
2010-08-05,172.0,172.0,172.0,169.0,3.0,2,303,52116.0
2010-08-10,169.0,166.0,166.0,172.0,-6.0,4,4678,790396.0
2010-08-11,166.0,163.0,164.0,166.0,-2.0,11,5152,840648.0
2010-08-17,162.0,161.0,162.0,164.0,-2.0,2,117,18937.0
2010-08-22,162.0,159.0,159.0,162.0,-3.0,4,596,95922.0
2010-08-23,156.0,156.0,156.0,159.0,-3.0,1,200,31200.0
2010-09-02,153.0,153.0,153.0,156.0,-3.0,1,100,15300.0
2010-09-06,150.0,150.0,150.0,153.0,-3.0,2,302,45300.0
2010-09-08,150.0,150.0,150.0,150.0,,1,1620,243000.0
