date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-04-20,10,10,10,0,10,1,100,1000
2023-04-23,9.81,9,9,10,-1,9,1205,11081.6
2023-04-24,8.82,8.1,8.2,9,-0.8000000000000007,33,5170,42281.4
2023-04-25,8.04,7.77,7.8,8.2,-0.39999999999999947,18,5200,40946.25
2023-04-26,7.8,7.35,7.69,7.8,-0.10999999999999943,17,2000,15277.75
2023-04-27,7.86,7.56,7.7,7.69,0.009999999999999787,9,975,7491
2023-04-30,7.85,7.64,7.73,7.7,0.03000000000000025,10,2150,16584.25
2023-05-02,7.7,7.65,7.7,7.73,-0.03000000000000025,8,825,6331.25
2023-05-03,7.76,7.75,7.75,7.7,0.04999999999999982,6,1250,9697.5
2023-05-04,7.85,7.6,7.8,7.75,0.04999999999999982,5,725,5630
2023-05-07,7.84,7.65,7.84,7.8,0.040000000000000036,6,1600,12460
2023-05-08,7.86,7.71,7.83,7.84,-0.009999999999999787,6,800,6243
2023-05-09,7.85,7.7,7.79,7.83,-0.040000000000000036,7,900,6984
2023-05-10,7.82,7.65,7.82,7.79,0.03000000000000025,9,1175,9074.75
2023-05-11,7.79,7.7,7.79,7.82,-0.03000000000000025,4,900,6965
2023-05-14,7.8,7.72,7.73,7.79,-0.05999999999999961,6,720,5575.9
2023-05-15,7.65,7.65,7.65,7.73,-0.08000000000000007,1,100,765
2023-05-16,8,7.68,8,7.65,0.34999999999999964,7,2775,22007.25
2023-05-17,8.42,7.84,7.85,8,-0.15000000000000036,9,1800,14720
2023-05-18,7.82,7.74,7.82,7.85,-0.02999999999999936,4,850,6637
2023-05-21,8.43,7.69,8.43,7.82,0.6099999999999994,9,1025,8236.75
2023-05-22,9.1,8.59,8.8,8.43,0.370000000000001,9,1750,15430
2023-05-23,9.14,8.97,9.1,8.8,0.29999999999999893,4,1000,9078.75
2023-05-24,9.28,9.2,9.2,9.1,0.09999999999999964,3,1100,10128
2023-05-30,9.02,8.67,8.67,9.2,-0.5299999999999994,7,3300,29056
2023-05-31,8.5,8.17,8.33,8.67,-0.33999999999999986,4,400,3333
2023-06-01,8.17,7.61,7.83,8.33,-0.5,12,3650,29075.5
2023-06-04,7.8,7.71,7.8,7.83,-0.03000000000000025,2,400,3093
2023-06-05,8.04,7.53,7.9,7.8,0.10000000000000053,10,2125,16461.5
2023-06-06,8.63,7.63,8.63,7.9,0.7300000000000004,13,3000,23580.5
2023-06-07,8.46,8.3,8.3,8.63,-0.33000000000000007,2,200,1676
2023-06-08,8.14,8.03,8.03,8.3,-0.27000000000000135,5,800,6469
2023-06-11,8,7.9,8,8.03,-0.02999999999999936,5,500,3978
2023-06-12,8,7.85,7.99,8,-0.009999999999999787,11,1500,11949
2023-06-13,8.05,7.87,7.92,7.99,-0.07000000000000028,4,900,7121
2023-06-14,8.05,7.77,7.92,7.92,0,8,800,6305
2023-06-15,8.07,8,8,7.92,0.08000000000000007,5,600,4821
2023-06-18,8.07,7.85,8.07,8,0.07000000000000028,13,1300,10269
2023-06-19,8.08,7.92,7.95,8.07,-0.1200000000000001,8,2400,19149
2023-06-20,8,7.84,7.95,7.95,0,12,1300,10296.75
2023-06-21,7.9,7.9,7.9,7.95,-0.04999999999999982,2,200,1580
2023-06-22,7.9,7.75,7.89,7.9,-0.010000000000000675,12,1400,10979
2023-06-25,8,7.79,7.9,7.89,0.010000000000000675,9,1325,10411.75
2023-06-26,7.96,7.81,7.95,7.9,0.04999999999999982,5,600,4740
2023-06-27,8,7.89,8,7.95,0.04999999999999982,6,2200,17486
2023-06-28,8.43,8,8.27,8,0.2699999999999996,5,6400,53685
2023-07-02,8.43,8.2,8.43,8.27,0.16000000000000014,12,1600,13196
2023-07-03,8.28,8.28,8.28,8.43,-0.15000000000000036,4,600,4968
2023-07-04,8.25,8.12,8.25,8.28,-0.02999999999999936,7,2600,21378
2023-07-05,8.1,8.1,8.1,8.25,-0.15000000000000036,4,1200,9720
2023-07-06,8.03,7.94,8.03,8.1,-0.07000000000000028,5,500,3997
2023-07-09,8.19,8.03,8.03,8.03,0,16,3300,26659
2023-07-10,8,8,8,8.03,-0.02999999999999936,1,100,800
2023-07-11,7.96,7.72,7.95,8,-0.04999999999999982,11,2450,19408.75
2023-07-12,8.34,7.87,8.34,7.95,0.3899999999999997,8,800,6419
2023-07-13,9.17,8.5,8.8,8.34,0.46000000000000085,19,19046,167397.6
2023-07-16,9.68,8.3,9.68,8.8,0.879999999999999,35,8325,72180.33
2023-07-17,9.68,9.15,9.68,9.68,0,18,101999,986878.85
2023-07-18,9.49,9.49,9.49,9.68,-0.1899999999999995,2,200,1898
2023-07-19,9.31,8.95,8.95,9.49,-0.5400000000000009,8,1100,10006
2023-07-20,8.9,8.8,8.8,8.95,-0.14999999999999858,4,1075,9527.5
2023-07-23,8.64,8.46,8.64,8.8,-0.16000000000000014,12,1600,13694
2023-07-24,8.48,8.32,8.34,8.64,-0.3000000000000007,4,600,5029
2023-07-25,8.2,8.03,8.03,8.34,-0.3100000000000005,11,1625,13279.5
2023-07-26,8.11,8.06,8.11,8.03,0.08000000000000007,8,1200,9703
2023-07-27,8.11,8.03,8.11,8.11,0,4,1800,14575
2023-07-30,8.2,8.02,8.1,8.11,-0.009999999999999787,9,1290,10461.4
2023-07-31,8.01,7.8,7.87,8.1,-0.22999999999999954,12,3900,30679
2023-08-01,7.92,7.91,7.92,7.87,0.04999999999999982,2,250,1978.5
2023-08-02,8.19,8,8.08,7.92,0.16000000000000014,8,11595,94693.55
2023-08-03,8.16,8,8.16,8.08,0.08000000000000007,3,1000,8144
2023-08-06,8.15,8.01,8.03,8.16,-0.13000000000000078,13,2000,16151.4
2023-08-07,8.19,7.9,7.92,8.03,-0.10999999999999943,11,1325,10630.5
2023-08-08,8.07,7.94,8.05,7.92,0.13000000000000078,12,1850,14856.5
2023-08-09,8.05,7.9,8.03,8.05,-0.02000000000000135,8,2675,21482.75
2023-08-10,8.19,7.87,8.19,8.03,0.16000000000000014,5,900,7210
2023-08-13,8.35,8.1,8.18,8.19,-0.009999999999999787,19,3910,32168
2023-08-14,8.26,8.07,8.11,8.18,-0.07000000000000028,9,2000,16380
2023-08-15,8.15,8,8,8.11,-0.10999999999999943,8,900,7238
2023-08-16,8.48,8,8.32,8,0.3200000000000003,13,2400,19833
2023-08-17,8.48,8.2,8.48,8.32,0.16000000000000014,8,1300,10948
2023-08-20,8.35,8.09,8.11,8.48,-0.370000000000001,9,900,7401
