date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-08-17,295.9,269,295.9,,26.9,80,562,162675.9
2022-08-18,325.4,301.8,325.4,295.9,29.5,535,5350,1740310
2022-08-22,349,320.1,323,337,-14,2963,53198,17262964.8
2022-08-23,323.5,315,320,323,-3,1714,28437,9082151.2
2022-08-24,344.5,318,332,320,12,1712,30418,9879602.9
2022-08-25,334,322.6,323,332,-9,910,13083,4287002.6
2022-08-26,320,313.1,319,323,-4,537,11130,3508977.5
2022-08-28,315,300,301,319,-18,987,20529,6275687.2
2022-08-29,307,295,305,301,4,562,9421,2822373
2022-08-30,311.1,298,299.9,305,-5.1,404,6385,1918764.6
2022-08-31,303,283.6,286,299.9,-13.9,445,11413,3301243.8
2022-09-01,291.7,276.2,284,286,-2,509,16566,4656190.1
2022-09-02,297,279,279.1,284,-4.9,169,4222,1200953.5
2022-09-04,297,274,295,279.1,15.9,645,18356,5345549
2022-09-05,300,290.1,290.1,295,-4.9,311,7987,2347770.4
2022-09-06,290,283,284.1,290.1,-6,259,9180,2623327
2022-09-07,293,278.8,283.2,284.1,-0.9,352,8490,2433713
2022-09-08,296,277.8,287,283.2,3.8,313,9217,2665548
2022-09-11,292.7,282,284,287,-3,337,7985,2293237
2022-09-12,285,279.2,281,284,-3,250,4077,1144579.5
2022-09-13,291.7,276,284,281,3,264,7565,2150173.5
2022-09-14,293.9,281,288.3,284,4.3,364,13757,3980817.5
2022-09-15,290,267.7,268,288.3,-20.3,272,14365,4002798
2022-09-16,264,255.1,260.1,268,-7.9,114,4250,1099898.5
2022-09-18,258,247.5,248.1,260.1,-12,245,9285,2338990.5
2022-09-20,243.2,227.1,240,248.1,-8.1,307,9268,2166757.3
2022-09-21,244.8,235.2,242,240,2,161,2930,700186
2022-09-22,237.5,227.2,230,242,-12,179,9938,2288484.2
2022-09-25,226,219.2,223,230,-7,160,3253,721777
2022-09-27,228.5,217.2,224,223,1,123,2722,607763
2022-09-28,230,220,224,224,,46,1154,256170.4
2022-09-29,225,219.8,224,224,,71,1314,292165.4
2022-10-09,230.9,220.1,230.9,224,6.9,78,1409,317490.1
2022-10-10,235,217.4,223,230.9,-7.9,135,6291,1404382.2
2022-10-11,232,215,232,223,9,101,3733,814127.3
2022-10-12,232.5,216.1,230.5,232,-1.5,134,5657,1279411.9
2022-10-13,233,221.4,225,230.5,-5.5,116,3305,744858
2022-10-16,225,215.1,219,225,-6,112,2550,556442
2022-10-17,223.3,213.1,219,219,,146,4480,975558.1
2022-10-19,216,209,210,219,-9,136,2680,567950.5
2022-10-20,214,202.1,207.7,210,-2.3,145,2070,432252
2022-10-23,220.3,207,208.1,207.7,0.4,75,1763,374327
2022-10-31,216.2,206,209.1,208.1,1,84,1200,253368
2022-11-01,221,206,218,209.1,8.9,196,10036,2164991
2022-11-02,227.4,215,223,218,5,149,4784,1070473.5
2022-11-03,221,214.4,216.4,223,-6.599999999999994,112,3892,848441.8
2022-11-06,238,212.1,237,216.4,20.599999999999994,232,7544,1693130.6
2022-11-07,251,228.5,230,237,-7,285,19667,4698507.5
2022-11-08,238.6,221.6,238,230,8,185,8702,1979690.1
2022-11-09,235,221.5,225,238,-13,174,16241,3721605.5
2022-11-10,229,216.6,216.7,225,-8.300000000000011,144,6541,1434649.2
2022-11-13,219.8,212.7,214,216.7,-2.6999999999999886,125,3710,798887
2022-11-14,225.4,210,221,214,7,121,3292,726253.5
2022-11-15,224,209.8,220,221,-1,166,6590,1410089.5
2022-11-16,224,211.3,223,220,3,129,3970,871130.5
2022-11-22,232.5,223.6,227,231.9,-4.900000000000006,162,3598,813226.3
2022-11-23,227.4,220.9,222.1,227,-4.900000000000006,136,3525,785658
2022-11-24,226.4,214.9,220,222.1,-2.0999999999999943,141,4508,996437.9
2022-11-27,235,216,233,220,13,323,20338,4727398.6
2022-11-28,234.9,224.8,231.4,233,-1.5999999999999943,168,7947,1828406.4
2022-11-29,240,225,235.6,231.4,4.199999999999989,160,2855,655698
2022-11-30,244.8,231,242,235.6,6.400000000000006,268,10640,2566586.4
2022-12-01,264.3,237.2,264.3,242,22.30000000000001,400,28386,7155869.9
2022-12-04,265.2,251,259,264.3,-5.300000000000011,351,9225,2386871
2022-12-05,258.1,248.3,250.4,259,-8.599999999999994,213,15223,3841252.1
2022-12-06,255,241,252.9,250.4,2.5,199,7484,1869156.3
2022-12-07,256,246,251.7,252.9,-1.200000000000017,169,8007,2002578.6
2022-12-11,251,240.1,240.1,251.7,-11.599999999999994,178,5012,1218402
2022-12-12,255,235.3,250,240.1,9.900000000000006,173,3468,856229
2022-12-13,253.5,242,251.5,250,1.5,144,2825,706396
2022-12-14,262,246.5,260.3,251.5,8.800000000000011,265,17829,4570416.5
2022-12-15,263,249,255,260.3,-5.300000000000011,214,6274,1582694.8
2022-12-18,255.3,249.1,255.2,255,0.19999999999998863,233,6737,1692195.9
2022-12-19,265.3,250.2,259.9,255.2,4.699999999999989,228,15619,4013875.9
2022-12-20,264.9,254.9,257,259.9,-2.8999999999999773,199,3389,876801.9
2022-12-21,262.4,251.9,261.1,257,4.100000000000023,195,5745,1480310.5
2022-12-22,264,252.9,259,261.1,-2.1000000000000227,166,10270,2654126
2022-12-26,269,255.2,269,259,10,249,10636,2820133.6
2022-12-27,274.3,260,274,269,5,301,22795,6101778.7
2022-12-28,275,263.2,274.5,274,0.5,207,15156,4068450.4
2022-12-29,301.9,264.3,301.9,274.5,27.399999999999977,307,17270,4888251.2
2023-01-01,312.1,288,303.8,301.9,1.900000000000034,343,23811,7070959
2023-01-02,309.8,286,298.1,303.8,-5.699999999999989,310,14403,4302101
2023-01-03,327.9,294,327.9,298.1,29.799999999999955,506,30377,9300190.9
2023-01-04,335.5,306.1,335.5,327.9,7.600000000000023,539,22361,7238916
2023-01-05,361.7,327.6,361.7,335.5,26.19999999999999,543,33104,11217721.4
2023-01-08,358,341,354,361.7,-7.699999999999989,431,19672,6906352.3
2023-01-09,372.3,335,372.3,354,18.30000000000001,570,33028,11668542.8
2023-01-10,380,340,370,372.3,-2.3000000000000114,598,30719,11226934.3
2023-01-12,364,337.1,344.7,370,-25.30000000000001,501,40329,13985185.4
2023-01-17,362,324,359.8,344.7,15.100000000000023,649,36293,12678159.6
2023-01-18,374,356,367.2,359.8,7.399999999999977,602,40165,14627694.2
2023-01-19,390.6,361,389.6,367.2,22.400000000000034,962,57900,22057139.6
2023-01-23,386,366,374.1,389.6,-15.5,618,46321,17271702
2023-01-24,374,350,374,374.1,-0.10000000000002274,517,32023,11623120.9
2023-01-25,391.2,361,379,374,5,601,37590,14055219.3
2023-01-26,386.4,365,375.3,379,-3.6999999999999886,370,18950,7008133
2023-01-29,411.6,358,411.6,375.3,36.30000000000001,548,29501,11058768.5
2023-01-30,403.4,373,384,411.6,-27.600000000000023,540,45297,17208944.2
2023-01-31,382,363,378,384,-6,382,19185,7150277
2023-02-01,382,370,378.9,378,0.8999999999999773,358,10445,3914291.6
2023-02-02,386,364,375,378.9,-3.8999999999999773,387,28029,10499440.8
2023-02-05,382.5,362.9,378.4,375,3.3999999999999773,406,10421,3854847.2
2023-02-06,380,370.1,370.2,378.4,-8.199999999999989,285,8497,3181195.3
2023-02-07,395,370.2,395,370.2,24.80000000000001,666,40525,15521545.8
2023-02-08,410,385,397,395,2,425,23567,9264922.7
2023-02-09,404.9,382.4,404.9,397,7.899999999999977,376,13211,5193023.9
2023-02-12,404,381,387,404.9,-17.899999999999977,334,30718,11886223.5
2023-02-14,393,372,382,387,-5,323,18060,6833737
2023-02-15,381.6,366.1,375.9,382,-6.100000000000023,249,12370,4596627.9
2023-02-16,385,367,380,375.9,4.100000000000023,295,24025,9029593
2023-02-20,384,368.2,376,380,-4,336,13212,4913354
2023-02-22,389,368.6,378,376,2,359,13041,4935761
2023-02-23,385.5,369,379.9,378,1.8999999999999773,290,15014,5625198.6
2023-02-26,380,365,377,379.9,-2.8999999999999773,278,9470,3503918
2023-02-27,389.6,364,389.6,377,12.600000000000023,269,17930,6717766
2023-02-28,400,375,400,389.6,10.399999999999977,542,38590,15094864.7
2023-03-01,395,386,390,400,-10,234,8745,3398624
2023-03-02,388,377,386,390,-4,169,9173,3494852.3
2023-03-05,393.6,373,387,386,1,209,10650,4044008
2023-03-07,386.8,373,380,387,-7,177,7051,2673108
2023-03-09,391,372.8,391,380,11,307,12634,4887476
2023-03-12,393,383.2,392,391,1,330,40253,15556719.3
2023-03-13,401,383.3,400,392,8,387,22899,9012301.2
2023-03-14,407,394,401,400,1,395,21872,8763605
2023-03-15,400,388.6,395,401,-6,211,7298,2872973.9
2023-03-16,399,381,395.6,395,0.6000000000000227,192,7468,2927408.7
2023-03-19,400,381.1,389,395.6,-6.600000000000023,207,6306,2450359.5
2023-03-20,396,381.7,395,389,6,285,9716,3785308
2023-03-22,402,385,390,395,-5,174,9633,3729665.7
2023-03-23,394.5,375,387,390,-3,234,11055,4197813.3
2023-03-26,385,372.1,383,387,-4,243,9455,3564656.9
2023-03-27,389,375,387,383,4,207,8645,3274265.3
2023-03-28,390,370,385,387,-2,248,11969,4560696.6
2023-03-29,385,377.3,384.5,385,-0.5,165,4860,1857017
2023-03-30,388,374,380,384.5,-4.5,135,2855,1076401
2023-04-02,389.5,364.3,389.5,380,9.5,287,9432,3521239.4
2023-04-03,388.9,367.2,377,389.5,-12.5,165,11570,4295557.9
2023-04-04,384,365,374,377,-3,132,4781,1773442
2023-04-05,380,353.1,362,374,-12,119,6970,2548563
2023-04-06,364.9,354.8,362,362,0,149,8555,3075150.5
