date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-01-23,404.2,374.8,404.2,367.5,36.69999999999999,90,1330,536641
2023-01-24,444.6,412.2,444.6,404.2,40.400000000000034,69,1740,772175
2023-01-25,489,436.1,489,444.6,44.39999999999998,328,44755,21878498
2023-01-26,537.9,492,495,489,6,802,63167,31627247
2023-01-29,514,476,498,495,3,425,23218,11462529.5
2023-01-30,507.9,473,477,498,-21,322,14178,6871107.7
2023-01-31,492.5,459,469.9,477,-7.100000000000023,282,16773,7931206.2
2023-02-01,493.6,467.5,493,469.9,23.100000000000023,400,28218,13742595.7
2023-02-02,502.8,484,488,493,-5,388,32515,16141878.8
2023-02-05,495,479,485,488,-3,245,11668,5661837.1
2023-02-06,492,475.4,484.9,485,-0.10000000000002274,266,12433,5991748.5
2023-02-07,513.8,488,499.9,484.9,15,375,20657,10255740.9
2023-02-08,515.1,496.1,503.9,499.9,4,380,36464,18532203.2
2023-02-09,500,490,496,503.9,-7.899999999999977,157,5463,2706662.9
2023-02-12,500,475.9,485,496,-11,239,14627,7103010.2
2023-02-14,485,471.4,479.2,485,-5.800000000000011,203,9992,4780320
2023-02-15,484,470.7,473,479.2,-6.199999999999989,168,6796,3233557.3
2023-02-16,470,461.1,463,473,-10,207,9279,4327035.8
2023-02-20,471.8,446.1,455,463,-8,356,19162,8675259.8
2023-02-22,479,446.5,474.9,455,19.899999999999977,233,7523,3537106.5
2023-02-23,470,451,465,474.9,-9.899999999999977,161,10270,4756579.7
2023-02-26,471,438,471,465,6,197,6881,3129676.7
2023-02-27,478.9,456,466,471,-5,175,9070,4218142.1
2023-02-28,472,460,463,466,-3,100,2253,1048032.5
2023-03-01,467,454,454,463,-9,131,5801,2664022.9
2023-03-02,454,446.1,453.9,454,-0.10000000000002274,102,4848,2181328.5
2023-03-05,459.1,445.3,459,453.9,5.100000000000023,136,5120,2304151.5
2023-03-07,461,442,459,459,0,109,4195,1908109
2023-03-09,468.1,452.1,468,459,9,152,7278,3368778.5
2023-03-12,475,455.1,456,468,-12,120,6134,2836584
2023-03-13,456,448.7,455,456,-1,114,3730,1687993
2023-03-14,467,450,455,455,0,118,2543,1167952
2023-03-15,462,448,457.2,455,2.1999999999999886,119,5079,2322596.5
2023-03-16,462,450,458,457.2,0.8000000000000114,107,4615,2110671.9
2023-03-19,457.5,451,454,458,-4,130,2447,1111053
2023-03-20,463,450.2,463,454,9,132,3560,1630337.6
2023-03-22,466.3,455,456,463,-7,108,5825,2670456.5
2023-03-23,459,449,451,456,-5,105,6485,2924820
2023-03-26,446,438.5,439,451,-12,132,5835,2580035.5
2023-03-27,449.9,431.5,449,439,10,132,3229,1427957.7
2023-03-28,455,442,451,449,2,98,4466,2017218.1
2023-03-29,460,443,456,451,5,78,4094,1870042.1
2023-03-30,463,454,458,456,2,148,11056,5063194.8
2023-04-02,460,442,450,458,-8,120,24382,10965515.7
2023-04-03,458,437.4,447,450,-3,104,3520,1553366
2023-04-04,445,432.4,432.4,447,-14.600000000000023,144,19955,8701447.9
2023-04-05,448,427,442,432.4,9.600000000000023,129,8846,3845331
2023-04-06,443,435,440,442,-2,126,4434,1936345.8
2023-04-09,433,418.1,424,440,-16,179,12627,5340767.8
2023-04-10,426,413,425,424,1,118,2768,1168703.6
2023-04-11,430.4,420,429,425,4,91,3420,1459303.5
2023-04-12,451.8,433,446.3,429,17.30000000000001,128,21065,9361415.8
2023-04-13,457.9,438,450,446.3,3.6999999999999886,141,14038,6233312
2023-04-16,466,445,464.8,450,14.800000000000011,219,20566,9435227.9
2023-04-17,465,455.6,461,464.8,-3.8000000000000114,188,21645,9989116
2023-04-18,475,452,470,461,9,211,16146,7541135.7
2023-04-19,479.9,469.1,479,470,9,149,9136,4347720.6
2023-04-20,485,466.7,474,479,-5,108,11590,5469255.5
2023-04-23,474,460.1,469.9,474,-4.100000000000023,112,6223,2875233.5
2023-04-24,472,460.1,469,469.9,-0.8999999999999773,121,9323,4324296.8
2023-04-25,469,455,464,469,-5,81,1635,753719
2023-04-26,470,455.1,461,464,-3,110,10987,5032525.5
2023-04-27,460,452.1,456,461,-5,108,5077,2313152
2023-04-30,455,447,448.9,456,-7.100000000000023,98,3409,1530962
2023-05-02,447.9,440,446,448.9,-2.8999999999999773,84,1857,826077.3
2023-05-03,461,440,447,446,1,68,2353,1049141
2023-05-04,453.9,441,450,447,3,85,5111,2290969.1
2023-05-07,450,443,446,450,-4,65,2963,1314203.3
2023-05-08,444,434,440,446,-6,115,2296,1002682.9
2023-05-09,445,433,433.1,440,-6.899999999999977,99,4430,1942073
2023-05-10,450.5,431,439,433.1,5.899999999999977,84,1695,736500.5
2023-05-11,443.5,434,434.2,439,-4.800000000000011,69,2894,1264502.8
2023-05-14,435,417,429,434.2,-5.199999999999989,97,4959,2108810
2023-05-15,437.5,412.2,430.6,429,1.6000000000000227,94,1920,813608
2023-05-16,445.8,426.2,445.8,430.6,15.199999999999989,112,5139,2251790.5
2023-05-17,445.5,432.6,439,445.8,-6.800000000000011,107,4640,2042893.5
2023-05-18,450,421.4,444,439,5,269,42238,18453535.8
2023-05-21,463.8,430.1,438.1,444,-5.899999999999977,175,24172,10728356
2023-05-22,456,430.5,452,438.1,13.899999999999977,223,25837,11527005.7
2023-05-23,479.7,454,479.7,452,27.69999999999999,289,37402,17484169.2
2023-05-24,489,462,484,479.7,4.300000000000011,206,40422,19172661.7
2023-05-28,489,469,470,484,-14,245,34110,16348894.3
2023-05-30,468,448,452,470,-18,171,22519,10206565.7
2023-05-31,450,435,438,452,-14,139,13193,5811568.3
2023-06-01,454.9,431.1,450,438,12,125,10850,4793751.1
2023-06-04,474,450,470,450,20,198,20502,9565765
2023-06-05,474,460.1,463.9,470,-6.100000000000023,161,12002,5600910.7
2023-06-06,488.5,457.5,482.1,463.9,18.200000000000045,262,25540,12249864.1
2023-06-07,500,482,488,482.1,5.899999999999977,270,19107,9420297.8
2023-06-08,525,478.3,524,488,36,682,84550,42768826.5
2023-06-11,550.8,515.1,541,524,17,548,67204,36272311
2023-06-12,558.1,530.2,557,541,16,404,59871,32305271
2023-06-13,579,541,555,557,-2,471,62563,35204276.7
2023-06-14,577,545,577,555,22,501,66774,37301029.3
2023-06-15,588,554.5,588,577,11,478,53401,30206409.9
2023-06-18,605,570,599.1,588,11.100000000000023,814,115274,68410948.6
2023-06-19,611,573.1,576,599.1,-23.100000000000023,502,59238,34582995.5
2023-06-20,585,562.6,562.9,576,-13.100000000000023,373,49760,28308462
2023-06-21,575,552.2,560.1,562.9,-2.7999999999999545,342,43007,24180067.9
2023-06-22,599,553,593,560.1,32.89999999999998,515,53872,31226128.8
2023-06-25,645,582,645,593,52,976,140461,87456123.5
2023-06-26,665,625,658,645,13,674,78924,50343646.6
2023-06-27,710,632.1,697,658,39,692,75388,49599593
2023-06-28,710.9,663.1,685,697,-12,682,72790,49650224.4
2023-07-02,696,651.3,652,685,-33,566,54238,36266078.5
2023-07-03,668,635,649.3,652,-2.7000000000000455,510,39720,25940072.2
2023-07-04,665,642.9,659,649.3,9.700000000000045,331,23510,15335321
2023-07-05,660.5,629,640,659,-19,378,32392,20771006.7
2023-07-06,663,624,636,640,-4,356,21201,13436562.8
2023-07-09,660,640,660,636,24,471,31430,20388721.5
2023-07-10,670,648,660,660,0,352,23950,15760771.5
2023-07-11,663,641.8,650,660,-10,230,14308,9303188.5
2023-07-12,663,640,663,650,13,286,23603,15413499.7
2023-07-13,674,641.9,649,663,-14,230,21509,14018038.2
2023-07-16,654,637,649.9,649,0.8999999999999773,187,19604,12584588.1
2023-07-17,664,641,664,649.9,14.100000000000023,251,12171,8003786.4
2023-07-18,680,655,670,664,6,387,43224,28961366.4
2023-07-19,672.9,655,667,670,-3,227,14126,9378648.1
2023-07-20,664,645,645,667,-22,199,13725,8964771.2
2023-07-23,673,633,650.2,645,5.2000000000000455,372,31937,20725490.1
2023-07-24,668,644.2,652,650.2,1.7999999999999545,273,39398,25664712.9
2023-07-25,659,639,639.1,652,-12.899999999999977,215,17203,11084230.5
2023-07-26,652,634.3,646,639.1,6.899999999999977,248,24503,15688451.2
2023-07-27,648,633,639.7,646,-6.2999999999999545,204,26418,16809333.4
2023-07-30,640,613.1,630,639.7,-9.700000000000045,252,19352,12127110.6
2023-07-31,637,614,625,630,-5,200,15110,9418439.6
2023-08-01,626.2,600,606,625,-19,202,12026,7345136.6
