date,high,low,close,previous,diff,numtrans,tradedshares,volume
2014-01-22,324.0,324.0,324.0,,324.0,1,10,3240.0
2014-01-23,356.0,330.0,356.0,324.0,32.0,6,60,20660.0
2014-01-26,373.0,373.0,373.0,356.0,17.0,1,10,3730.0
2014-01-27,401.0,380.0,401.0,373.0,28.0,4,40,15620.0
2014-01-28,441.0,409.0,441.0,401.0,40.0,7,252,109756.0
2014-01-29,485.0,449.0,485.0,441.0,44.0,61,1380,666968.0
2014-02-02,533.0,494.0,533.0,485.0,48.0,826,64607,34314932.0
2014-02-03,543.0,495.0,500.0,533.0,-33.0,1118,64378,33538028.0
2014-02-04,499.0,452.0,494.0,500.0,-6.0,515,19086,9279880.0
2014-02-05,503.0,494.0,501.0,494.0,7.0,398,14465,7231475.0
2014-02-06,527.0,498.0,519.0,501.0,18.0,249,12863,6478886.0
2014-02-09,520.0,500.0,515.0,519.0,-4.0,368,17399,8873190.0
2014-02-10,545.0,511.0,524.0,515.0,9.0,171,11836,6169735.0
2014-02-11,523.0,510.0,516.0,524.0,-8.0,195,21014,10790549.0
2014-02-12,512.0,500.0,512.0,516.0,-4.0,261,8511,4318790.0
2014-02-13,512.0,508.0,512.0,512.0,,371,9708,4952112.0
2014-02-16,511.0,502.0,505.0,512.0,-7.0,202,6069,3070731.0
2014-02-17,512.0,500.0,506.0,505.0,1.0,291,22549,11350710.0
2014-02-18,524.0,505.0,515.0,506.0,9.0,426,11226,5749845.0
2014-02-20,530.0,514.0,530.0,515.0,15.0,300,9012,4688680.0
2014-02-23,583.0,530.0,580.0,530.0,50.0,423,33835,18878495.0
2014-02-24,625.0,582.0,582.0,580.0,2.0,211,23880,14245409.0
2014-02-25,593.0,560.0,593.0,582.0,11.0,298,25759,14788833.0
2014-02-26,604.0,534.0,570.0,593.0,-23.0,268,14762,8612450.0
2014-03-03,565.0,546.0,555.0,570.0,-15.0,189,7794,4329743.0
2014-03-04,550.0,532.0,549.0,555.0,-6.0,243,18136,9753163.0
2014-03-05,582.0,535.0,560.0,549.0,11.0,176,12657,7138103.0
2014-03-06,570.0,555.0,560.0,560.0,,376,27561,15482965.0
2014-03-09,560.0,540.0,550.0,560.0,-10.0,232,15006,8274894.0
2014-03-10,550.0,530.0,549.0,550.0,-1.0,297,8932,4826451.0
2014-03-11,545.0,530.0,530.0,549.0,-19.0,277,10786,5831905.0
2014-03-12,545.0,525.0,540.0,530.0,10.0,214,10038,5401923.0
2014-03-13,545.0,531.0,540.0,540.0,,271,9115,4935193.0
2014-03-17,540.0,515.0,525.0,540.0,-15.0,174,9794,5174799.0
2014-03-18,530.0,511.0,515.0,525.0,-10.0,166,5212,2690447.0
