date,high,low,close,previous,diff,numtrans,tradedshares,volume
2024-01-04,0,0,10,0,10,1,150000,1263000
2024-01-31,10,10,10,10,0,1,100,1000
2024-02-05,9.81,9.81,9.81,10,-0.1899999999999995,4,500,4905
2024-02-07,9.62,9.43,9.43,9.81,-0.3800000000000008,2,200,1905
2024-02-08,9.25,8.48,8.49,9.43,-0.9399999999999995,77,15850,134780
2024-02-11,8.6,8.36,8.6,8.49,0.10999999999999943,56,9450,79741.75
2024-02-12,8.45,8.3,8.36,8.6,-0.2400000000000002,32,5800,48525
2024-02-13,8.5,8.35,8.35,8.36,-0.009999999999999787,26,3150,26357
2024-02-14,8.39,8.35,8.39,8.35,0.040000000000000924,11,2300,19239
2024-02-15,8.39,8.23,8.3,8.39,-0.08999999999999986,7,875,7242.75
2024-02-18,8.21,8,8.1,8.3,-0.20000000000000107,19,2400,19501
2024-02-20,8.77,7.99,8.77,8.1,0.6699999999999999,19,2500,20735
2024-02-21,9,8.48,8.77,8.77,0,15,12475,109754.5
2024-02-22,8.93,8.77,8.89,8.77,0.120000000000001,4,1300,11537
2024-02-25,9.18,8.99,9,8.89,0.10999999999999943,11,6225,56083
2024-02-26,9.36,9,9.36,9,0.35999999999999943,7,700,6390
2024-03-05,9.18,9.18,9.18,9.36,-0.17999999999999972,2,1000,9180
2024-03-14,9,8.85,8.85,9.18,-0.33000000000000007,19,4110,36568.5
2024-03-18,9.04,8.68,9.04,8.85,0.1899999999999995,23,47025,424154.5
2024-03-20,8.86,8.17,8.31,9.04,-0.7299999999999986,20,3100,25742
2024-03-21,8.33,8.31,8.33,8.31,0.019999999999999574,8,800,6652
2024-03-25,8.34,8.32,8.32,8.33,-0.009999999999999787,9,1660,13828.4
2024-03-26,8.32,8.32,8.32,8.32,0,7,900,7488
2024-03-27,8.4,8.32,8.32,8.32,0,8,1200,10034
2024-03-28,8.5,8.37,8.37,8.32,0.049999999999998934,10,2200,18436
2024-03-31,8.7,8.31,8.31,8.37,-0.05999999999999872,20,4300,35941
2024-04-01,8.31,8.15,8.18,8.31,-0.13000000000000078,4,600,4943
2024-04-02,8.18,8.06,8.18,8.18,0,11,1600,12958
2024-04-03,8.1,8.02,8.1,8.18,-0.08000000000000007,7,2450,19717.5
2024-04-04,8.37,8,8.37,8.1,0.2699999999999996,6,600,4920
2024-04-07,8.22,8.06,8.22,8.37,-0.14999999999999858,4,400,3270
2024-04-09,8.12,8.09,8.12,8.22,-0.10000000000000142,2,200,1621
2024-04-10,8.64,7.99,8.64,8.12,0.5200000000000014,21,3300,26904
2024-04-14,8.48,8.47,8.47,8.64,-0.16999999999999993,4,700,5932
2024-04-15,8.47,8.31,8.47,8.47,0,4,500,4212
2024-04-16,8.47,8.31,8.47,8.47,0,4,1000,8438
2024-04-18,8.63,8.46,8.46,8.47,-0.009999999999999787,2,1050,9036
2024-04-21,8.4,8.24,8.24,8.46,-0.22000000000000064,6,600,4992
2024-04-22,8.24,8.08,8.08,8.24,-0.16000000000000014,4,400,3248
2024-04-24,8.02,8,8.02,8.08,-0.0600000000000005,9,1400,11207
2024-04-25,8.01,7.86,7.98,8.02,-0.03999999999999915,9,1010,8032
2024-04-28,8,7.9,8,7.98,0.019999999999999574,5,500,3967
2024-04-29,8.18,7.9,8.03,8,0.02999999999999936,11,2575,20535.25
2024-04-30,8.05,8.02,8.03,8.03,0,7,5500,44180
2024-05-02,8.17,8.06,8.08,8.03,0.05000000000000071,7,2000,16237
