date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-08-06,294.0,260.1,261.0,,261.0,660,11686,3183701.1
2019-08-07,248.0,235.0,235.0,261.0,-26.0,129,2070,489290.0
2019-08-08,247.0,212.0,224.0,235.0,-11.0,11991,226165,51307537.0
2019-08-11,233.0,218.0,233.0,224.0,9.0,5659,124216,27997114.0
2019-08-12,233.0,227.0,228.0,233.0,-5.0,2921,64760,14853070.0
2019-08-13,230.0,225.0,225.0,228.0,-3.0,1983,42565,9667375.0
2019-08-14,227.0,222.0,222.0,225.0,-3.0,1850,44230,9913750.0
2019-08-15,226.0,220.0,222.0,222.0,,861,23050,5135680.0
2019-08-18,225.0,217.0,217.0,222.0,-5.0,1271,42847,9371116.0
2019-08-19,228.0,213.0,222.0,217.0,5.0,1662,37300,8152520.0
2019-08-20,222.0,216.0,217.0,222.0,-5.0,973,34270,7458280.0
2019-08-21,222.0,216.0,217.0,217.0,,967,20900,4520780.0
2019-08-22,219.0,216.0,217.0,217.0,,812,19505,4223655.0
2019-08-25,217.0,210.0,214.0,217.0,-3.0,950,29840,6348040.0
2019-08-26,213.0,206.0,206.0,214.0,-8.0,994,32565,6780320.0
2019-08-27,214.0,201.0,209.0,206.0,3.0,585,18681,3891326.0
2019-08-28,211.0,205.0,206.0,209.0,-3.0,478,12359,2550695.0
2019-08-29,208.0,203.0,203.0,206.0,-3.0,586,16538,3383848.0
2019-09-01,203.0,189.0,190.0,203.0,-13.0,755,34280,6743910.0
2019-09-02,192.0,185.0,188.0,190.0,-2.0,776,24421,4592165.0
2019-09-03,194.0,180.0,191.0,188.0,3.0,517,31610,5893474.0
2019-09-04,194.0,187.0,192.0,191.0,1.0,437,22253,4256443.0
2019-09-05,196.0,188.0,190.0,192.0,-2.0,411,21245,4030325.0
2019-09-08,191.0,184.0,184.0,190.0,-6.0,318,10870,2018260.0
2019-09-09,189.0,180.0,181.0,184.0,-3.0,637,16670,3039030.0
2019-09-10,182.0,173.0,177.0,181.0,-4.0,659,26971,4776875.0
2019-09-11,180.0,175.0,177.0,177.0,,501,11801,2081248.0
2019-09-12,177.0,173.0,173.0,177.0,-4.0,452,13435,2336900.0
2019-09-15,174.0,163.0,168.0,173.0,-5.0,848,30110,5062080.0
2019-09-16,171.0,163.0,167.0,168.0,-1.0,659,16910,2798380.0
2019-09-17,178.0,164.0,178.0,167.0,11.0,621,48995,8616750.0
2019-09-18,183.0,173.0,182.0,178.0,4.0,622,47604,8450328.0
2019-09-19,183.0,174.0,175.0,182.0,-7.0,643,26918,4775720.0
2019-09-22,176.0,165.0,166.0,175.0,-9.0,678,21650,3621480.0
2019-09-23,170.0,164.0,164.0,166.0,-2.0,471,11060,1831470.0
2019-09-24,166.0,163.0,166.0,164.0,2.0,292,7500,1230760.0
2019-09-25,166.0,163.0,164.0,166.0,-2.0,296,9021,1482844.0
2019-09-26,166.0,162.0,164.0,164.0,,368,14685,2420965.0
2019-09-29,168.0,162.0,163.0,164.0,-1.0,277,11170,1824310.0
2019-09-30,175.0,161.0,175.0,163.0,12.0,250,7200,1193375.0
2019-10-01,171.0,166.0,170.0,175.0,-5.0,199,9170,1547540.0
2019-10-02,172.0,166.0,169.0,170.0,-1.0,116,4870,815620.0
2019-10-03,171.0,168.0,169.0,169.0,,132,10135,1723665.0
2019-10-10,170.0,167.0,170.0,169.0,1.0,38,1190,201090.0
2019-10-14,170.0,167.0,168.0,170.0,-2.0,125,4210,705170.0
2019-10-15,170.0,166.0,170.0,168.0,2.0,94,3010,509670.0
2019-10-16,171.0,168.0,169.0,170.0,-1.0,184,7550,1274500.0
2019-10-17,170.0,168.0,170.0,169.0,1.0,192,5016,848544.0
2019-10-20,170.0,166.0,170.0,170.0,,274,6485,1082785.0
