date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-01-25,408.7,379,408.7,371.59,37.110000000000014,86,1965,800489.6
2023-01-26,449.5,408.7,449.5,408.7,40.80000000000001,65,1160,515974
2023-01-29,494.4,458.4,494.4,449.5,44.89999999999998,112,1815,894162.1
2023-01-30,543.8,504.2,519.8,494.4,25.399999999999977,2351,332697,176540086.6
2023-01-31,525,502,509.1,519.8,-10.699999999999932,920,132067,67135356.6
2023-02-01,512.9,500.2,505,509.1,-4.100000000000023,386,38506,19455974.1
2023-02-02,512,490.2,495,505,-10,545,53653,26632738.3
2023-02-05,503,490,490.3,495,-4.699999999999989,379,45585,22592256.7
2023-02-06,491.9,481.2,483,490.3,-7.300000000000011,320,28038,13609416.7
2023-02-07,509.4,480,507,483,24,502,50596,25216231.8
2023-02-08,519,503.8,503.8,507,-3.1999999999999886,423,51613,26372943.1
2023-02-09,509,500,506,503.8,2.1999999999999886,291,27221,13696291.4
2023-02-12,504,487,491.3,506,-14.699999999999989,329,40248,19881638
2023-02-14,495,487,488.1,491.3,-3.1999999999999886,328,36181,17721487.8
2023-02-15,494.9,486,487,488.1,-1.1000000000000227,276,28795,14081006.6
2023-02-16,489.8,480.4,481.2,487,-5.800000000000011,278,28057,13567725.8
2023-02-20,487.9,480,486,481.2,4.800000000000011,287,23780,11480410.6
2023-02-22,503.8,485.1,496.2,486,10.199999999999989,321,33192,16416565.3
2023-02-23,494.9,483,485.1,496.2,-11.099999999999966,248,36749,17928977.2
2023-02-26,490,462,489,485.1,3.8999999999999773,270,49016,23522808.5
2023-02-27,493,477.6,491,489,2,228,27603,13371533.9
2023-02-28,493,481.3,485,491,-6,191,21115,10303848.5
2023-03-01,487,477.2,477.2,485,-7.800000000000011,207,23740,11405793.2
2023-03-02,476,467,467,477.2,-10.199999999999989,244,36071,16927049.2
2023-03-05,475.7,461.3,462,467,-5,235,22983,10672185.2
2023-03-07,472,460,467,462,5,137,17078,7979467.7
2023-03-09,479.9,467,478.8,467,11.800000000000011,190,16104,7639464.4
2023-03-12,487,471,471,478.8,-7.800000000000011,224,32283,15409199.2
2023-03-13,479,461.6,463,471,-8,160,18443,8617762
2023-03-14,469,457,464,463,1,223,24178,11154293
2023-03-15,468,450,452.1,464,-11.899999999999977,367,81950,37132630.5
2023-03-16,456,443.1,451,452.1,-1.1000000000000227,257,19060,8587511.2
2023-03-19,452.1,444,444.1,451,-6.899999999999977,205,14015,6248483.6
2023-03-20,455,444.2,448.1,444.1,4,208,17402,7805998.1
2023-03-22,457,442,442.1,448.1,-6,209,25796,11599001.1
2023-03-23,448,440.1,441.3,442.1,-0.8000000000000114,183,12334,5452913.3
2023-03-26,445,433,434,441.3,-7.300000000000011,175,14276,6225203.4
2023-03-27,448,427,443.8,434,9.800000000000011,172,15945,6962166.5
2023-03-28,450.9,443,448,443.8,4.199999999999989,169,17472,7820230.5
2023-03-29,446.9,434,434,448,-14,210,23434,10295781.2
2023-03-30,447.9,434,436,434,2,199,16104,7071405
2023-04-02,452,432.7,436.9,436,0.8999999999999773,116,15253,6663819.8
2023-04-03,436,429,431.5,436.9,-5.399999999999977,146,12510,5401206.1
2023-04-04,438.5,426.1,427,431.5,-4.5,177,26860,11527622.7
2023-04-05,432,425,429.5,427,2.5,135,10607,4544193.9
2023-04-06,435,428.7,429,429.5,-0.5,157,14437,6219858.7
2023-04-09,430.4,416.1,420,429,-9,196,17906,7530628.3
2023-04-10,424.9,418.1,421,420,1,140,19816,8354150
2023-04-11,429.3,419.1,420,421,-1,228,15180,6409323.6
2023-04-12,442,425,442,420,22,233,26548,11606705.1
2023-04-13,449,430,434,442,-8,229,21156,9293264.3
2023-04-16,440,431.2,437,434,3,121,9753,4239754.3
2023-04-17,440,427,430,437,-7,134,13087,5636052.1
2023-04-18,433,424.3,426,430,-4,128,8893,3789184.1
2023-04-19,435,425.1,435,426,9,144,8040,3472550.6
2023-04-20,435,427,429,435,-6,105,7451,3193190.2
2023-04-23,432,421,426.6,429,-2.3999999999999773,135,12449,5259790.3
2023-04-24,429.9,421,426,426.6,-0.6000000000000227,133,32052,13568523.2
2023-04-25,430,420,428.3,426,2.3000000000000114,207,25233,10694651.4
2023-04-26,432.4,425,425.1,428.3,-3.1999999999999886,163,8705,3715375.1
2023-04-27,427.9,420,422,425.1,-3.1000000000000227,181,18761,7914831.4
2023-04-30,424.5,415,420.8,422,-1.1999999999999886,135,14085,5888746.5
2023-05-02,424.9,416.1,420,420.8,-0.8000000000000114,140,11669,4886571.6
2023-05-03,420,414,417.9,420,-2.1000000000000227,105,6099,2536214.7
2023-05-04,434.7,417.1,420.2,417.9,2.3000000000000114,143,13563,5766087.7
2023-05-07,422.8,415,418,420.2,-2.1999999999999886,119,8140,3390427
2023-05-08,418,412.4,415.5,418,-2.5,136,12442,5153755.4
2023-05-09,423,411.2,417,415.5,1.5,112,13401,5594955.8
2023-05-10,418,414.1,414.1,417,-2.8999999999999773,87,7875,3270781.1
2023-05-11,418,408,414.9,414.1,0.7999999999999545,83,7217,2988374.8
2023-05-14,424,410,414,414.9,-0.8999999999999773,187,15570,6474892.9
2023-05-15,414.9,409.1,414,414,0,127,15168,6243732
2023-05-16,421.7,407.1,411,414,-3,107,12355,5104505.8
2023-05-17,424.8,413,423,411,12,124,16646,6991241.2
2023-05-18,435.9,423,434,423,11,227,27250,11734620.3
2023-05-21,445.9,430.3,433,434,-1,260,36575,15972215.2
2023-05-22,446,426.4,445.8,433,12.800000000000011,269,56040,24425177
2023-05-23,468,445,464.5,445.8,18.69999999999999,507,111353,51085490.1
2023-05-24,474.7,455.5,471,464.5,6.5,249,26524,12408898.3
2023-05-28,480.3,460,460.9,471,-10.100000000000023,358,66673,31109827.9
2023-05-30,455,438,444,460.9,-16.899999999999977,410,65840,29215612.7
2023-05-31,446,422.4,425,444,-19,391,60660,26184152
2023-06-01,440,417,434.6,425,9.600000000000023,226,33276,14383865.3
2023-06-04,460,443,454,434.6,19.399999999999977,219,28019,12713063.8
2023-06-05,460,445.1,447,454,-7,299,39404,17792738.5
2023-06-06,465,441,461,447,14,340,53478,24411849.1
2023-06-07,469,456.8,464,461,3,417,52090,24134564
2023-06-08,485,455.2,483,464,19,484,74260,35216284.9
2023-06-11,501,485,497,483,14,574,78546,38862038.5
2023-06-12,500,483,490,497,-7,502,73031,35838680.6
2023-06-13,511,483.1,500,490,10,633,114548,57568193
2023-06-14,533.4,504,514,500,14,876,131392,68329091.8
2023-06-15,559.1,506,545,514,31,805,116936,61732738.8
2023-06-18,589,542,588.9,545,43.89999999999998,1076,171616,98479964.4
2023-06-19,600.6,565,567,588.9,-21.899999999999977,1081,169985,98167450
2023-06-20,580,543,551,567,-16,914,159808,89408610.3
2023-06-21,573,545,565.1,551,14.100000000000023,724,138294,77613647.6
2023-06-22,586.5,558,580,565.1,14.899999999999977,880,163772,94729925.6
2023-06-25,630,590,626,580,46,1865,280107,173489853.7
2023-06-26,646,612,617.8,626,-8.200000000000045,1258,160253,99697572
2023-06-27,623,607,614,617.8,-3.7999999999999545,846,100341,61505208.2
2023-06-28,637,603.1,620.7,614,6.7000000000000455,1020,171380,106571208.9
2023-07-02,645.2,615,627,620.7,6.2999999999999545,1508,262138,166757292.4
2023-07-03,642.6,618,623,627,-4,1049,125976,79339760.4
2023-07-04,635,614,624,623,1,562,68639,42656793.8
2023-07-05,627,601,603,624,-21,715,96235,58653522.1
2023-07-06,615,585,602,603,-1,632,68144,40897566.2
2023-07-09,624,602,621,602,19,564,73559,45300396.4
2023-07-10,633,617,623.1,621,2.1000000000000227,551,83233,52017003.8
2023-07-11,625.5,614,614,623.1,-9.100000000000023,362,59519,36951882.6
2023-07-12,638.7,614,626.9,614,12.899999999999977,400,66632,41650288.5
2023-07-13,637,611.6,611.6,626.9,-15.299999999999955,468,58784,36653762.1
2023-07-16,627.9,604.7,610,611.6,-1.6000000000000227,371,42814,26293965.3
2023-07-17,625,609,622,610,12,409,42837,26480422.1
2023-07-18,640.2,621,631,622,9,688,109534,69184309.4
2023-07-19,639.8,621.1,630,631,-1,345,54187,34149167.5
2023-07-20,635.9,618.1,621,630,-9,351,49922,31087993
2023-07-23,636,618,630,621,9,432,48763,30630924.1
2023-07-24,633,620,624,630,-6,338,58605,36682227.5
