date,high,low,close,previous,diff,numtrans,tradedshares,volume
2013-06-19,153.0,153.0,153.0,,153.0,5,50,7650.0
2013-06-20,168.0,156.0,168.0,153.0,15.0,6,314,52452.0
2013-06-23,184.0,171.0,184.0,168.0,16.0,45,1886,346462.0
2013-06-24,202.0,187.0,202.0,184.0,18.0,41,1552,312450.0
2013-06-25,222.0,192.0,212.0,202.0,10.0,73,2375,500355.0
2013-06-26,222.0,222.0,222.0,212.0,10.0,1,10,2220.0
2013-06-27,218.0,200.0,200.0,222.0,-22.0,35,1314,263636.0
2013-06-30,196.0,182.0,182.0,200.0,-18.0,26,438,83121.0
2013-07-01,182.0,179.0,180.0,182.0,-2.0,3,275,49476.0
2013-07-02,189.0,183.0,185.0,180.0,5.0,7,212,39291.0
2013-07-03,186.0,180.0,186.0,185.0,1.0,10,195,35420.0
2013-07-04,186.0,183.0,186.0,186.0,,9,356,65550.0
2013-07-07,204.0,189.0,204.0,186.0,18.0,19,477,95995.0
2013-07-08,208.0,200.0,204.0,204.0,,13,247,50260.0
2013-07-09,212.0,206.0,212.0,204.0,8.0,11,441,92008.0
2013-07-10,215.0,210.0,212.0,212.0,,19,505,107396.0
2013-07-11,233.0,208.0,233.0,212.0,21.0,25,887,197564.0
2013-07-14,236.0,232.0,232.0,233.0,-1.0,9,404,94277.0
2013-07-15,244.0,232.0,239.0,232.0,7.0,15,386,92124.0
2013-07-16,247.0,235.0,247.0,239.0,8.0,12,666,160519.0
2013-07-17,268.0,249.0,268.0,247.0,21.0,41,1245,324523.0
2013-07-21,280.0,250.0,280.0,268.0,12.0,11,188,50122.0
2013-07-22,285.0,270.0,285.0,280.0,5.0,45,743,204951.0
2013-07-23,300.0,285.0,300.0,285.0,15.0,10,192,55709.0
2013-07-24,294.0,290.0,290.0,300.0,-10.0,5,118,34292.0
2013-07-25,300.0,290.0,295.0,290.0,5.0,9,584,170894.0
2013-07-28,300.0,295.0,296.0,295.0,1.0,4,90,26739.0
2013-07-29,306.0,298.0,304.0,296.0,8.0,21,1607,485681.0
2013-07-30,310.0,298.0,305.0,304.0,1.0,13,950,284681.0
2013-07-31,307.0,307.0,307.0,305.0,2.0,1,18,5526.0
2013-08-01,310.0,304.0,304.0,307.0,-3.0,6,108,33189.0
2013-08-04,305.0,301.0,301.0,304.0,-3.0,4,106,32258.0
2013-08-05,307.0,301.0,301.0,301.0,,16,170,51710.0
2013-08-06,300.0,295.0,300.0,301.0,-1.0,5,530,158356.0
