date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-02-25,10.33,9.99,10.29,,10.29,79,59241,607999.52
2021-02-28,10.1,10.0,10.01,10.29,-0.28,37,20750,208136.0
2021-03-01,10.1,9.82,10.1,10.01,0.09,34,15590,154795.1
2021-03-02,10.0,9.9,9.92,10.1,-0.18,14,3400,33824.0
2021-03-03,10.0,9.89,9.89,9.92,-0.03,14,5400,53445.0
2021-03-04,10.08,9.81,10.0,9.89,0.11,27,13110,130925.7
2021-03-07,10.0,9.81,9.9,10.0,-0.1,20,6090,60009.4
2021-03-09,10.09,9.82,9.88,9.9,-0.02,42,17010,169280.7
2021-03-10,10.0,9.85,9.85,9.88,-0.03,30,24000,237845.0
2021-03-14,10.0,9.85,9.85,9.85,,35,14750,145958.5
2021-03-15,10.0,9.7,9.8,9.85,-0.05,19,9350,92141.0
2021-03-16,9.89,9.7,9.8,9.8,,24,15439,151061.6
2021-03-17,9.99,9.7,9.93,9.8,0.13,32,9050,89099.5
2021-03-18,9.93,9.8,9.89,9.93,-0.04,25,16940,167568.8
2021-03-21,9.88,9.8,9.88,9.89,-0.01,42,16970,167057.1
2021-03-22,9.94,9.75,9.81,9.88,-0.07,35,27500,270282.0
2021-03-23,9.85,9.7,9.84,9.81,0.03,43,13140,129017.0
2021-03-24,9.9,9.65,9.89,9.84,0.05,34,14160,139709.6
2021-03-25,10.0,9.72,9.93,9.89,0.04,66,52860,525682.0
2021-03-29,10.1,9.81,9.93,9.93,,59,20090,200010.0
2021-03-30,10.0,9.74,9.9,9.93,-0.03,35,17009,167077.29
2021-03-31,9.97,9.74,9.97,9.9,0.07,23,5010,49670.2
2021-04-01,10.05,9.78,9.96,9.97,-0.01,46,27550,275444.5
2021-04-04,10.01,9.61,9.98,9.96,0.02,55,49932,495773.67
2021-04-05,9.9,9.8,9.89,9.98,-0.09,32,24294,238616.3
2021-04-06,10.04,9.7,10.04,9.89,0.15,50,32940,325427.8
2021-04-07,10.0,9.81,9.95,10.04,-0.09,11,2100,20876.0
2021-04-08,10.0,9.79,9.95,9.95,,24,5895,58279.25
2021-04-12,9.89,9.76,9.85,9.95,-0.1,21,6650,65256.0
2021-04-13,9.99,9.7,9.99,9.85,0.14,32,14600,143459.0
2021-04-15,10.04,9.68,10.01,9.99,0.02,80,99430,995117.5
2021-04-18,10.07,9.87,9.99,10.01,-0.02,55,30945,309873.75
2021-04-19,10.0,9.83,9.9,9.99,-0.09,28,7470,74041.2
2021-04-20,10.0,9.8,9.84,9.9,-0.06,27,16500,162496.0
2021-04-21,9.98,9.81,9.81,9.84,-0.03,42,35910,353439.1
2021-04-22,10.38,9.52,10.18,9.81,0.37,36,10800,105541.0
2021-04-25,9.98,9.8,9.82,10.18,-0.36,29,57750,575232.0
2021-04-26,9.89,9.65,9.76,9.82,-0.06,24,18410,180003.0
2021-04-27,9.9,9.7,9.85,9.76,0.09,30,32440,319417.0
2021-04-28,10.21,9.52,9.78,9.85,-0.07,36,23500,230054.0
2021-04-29,9.84,9.7,9.84,9.78,0.06,21,29700,290852.0
2021-05-02,9.86,9.67,9.8,9.84,-0.04,40,14600,143280.0
2021-05-03,9.89,9.62,9.89,9.8,0.09,34,15100,147650.5
2021-05-04,9.89,9.72,9.81,9.89,-0.08,49,39360,387123.0
2021-05-05,9.89,9.73,9.89,9.81,0.08,37,9100,89319.0
2021-05-06,9.99,9.73,9.8,9.89,-0.09,40,15750,156278.5
2021-05-09,9.9,9.71,9.8,9.8,,35,28850,283394.5
2021-05-10,9.93,9.72,9.93,9.8,0.13,28,23200,228147.0
2021-05-11,9.99,9.74,9.85,9.93,-0.08,34,11050,108708.5
2021-05-12,9.99,9.7,9.85,9.85,,32,13850,136425.85
2021-05-13,9.98,9.71,9.8,9.85,-0.05,55,29160,287084.5
2021-05-16,9.98,9.75,9.89,9.8,0.09,54,25260,248097.7
2021-05-17,9.99,9.78,9.95,9.89,0.06,43,26440,261725.5
2021-05-18,9.97,9.9,9.97,9.95,0.02,61,42590,423500.3
2021-05-19,9.98,9.8,9.96,9.97,-0.01,45,42880,424794.0
2021-05-20,9.98,9.8,9.97,9.96,0.01,58,27620,274273.2
2021-05-23,9.97,9.8,9.93,9.97,-0.04,40,11150,110463.5
2021-05-24,9.96,9.85,9.93,9.93,,33,17800,176675.0
2021-05-25,9.99,9.85,9.93,9.93,,36,16550,163987.0
