date,high,low,close,previous,diff,numtrans,tradedshares,volume
2017-06-19,403.0,403.0,403.0,,403.0,1,10,4030.0
2017-07-26,,,,403.0,,1,9,3699.0
2017-07-27,,,,403.0,,1,1,411.0
2017-08-15,411.0,411.0,411.0,403.0,8.0,1,10,4110.0
2017-08-20,419.0,419.0,419.0,411.0,8.0,1,1000,419000.0
2017-08-28,427.0,427.0,427.0,419.0,8.0,1,10,4270.0
2017-09-10,448.0,448.0,448.0,427.0,21.0,1,10,4480.0
2017-09-20,456.0,456.0,456.0,448.0,8.0,1,10,4560.0
2017-11-05,501.0,465.0,501.0,456.0,45.0,13,130,64230.0
2017-11-09,551.0,511.0,551.0,501.0,50.0,13,130,70630.0
2017-11-13,,,,551.0,,2,10,5620.0
2017-11-15,573.0,562.0,573.0,551.0,22.0,2,60,33830.0
2017-11-27,487.0,487.0,487.0,478.0,9.0,1,10,4870.0
2017-12-18,511.0,511.0,511.0,487.0,24.0,1,10,5110.0
2017-12-19,536.0,536.0,536.0,511.0,25.0,1,10,5360.0
2018-01-01,562.0,562.0,562.0,536.0,26.0,1,10,5620.0
2018-02-04,590.0,590.0,590.0,562.0,28.0,1,10,5900.0
2018-03-18,,,,590.0,,4,20,12020.0
2018-03-29,,,,590.0,,2,201,100159.64
2018-04-03,619.0,619.0,619.0,590.0,29.0,1,10,6190.0
2018-05-02,655.0,631.0,655.0,619.0,36.0,3,30,19290.0
2018-05-03,694.0,668.0,694.0,655.0,39.0,3,30,20430.0
2018-05-06,721.0,707.0,721.0,694.0,27.0,2,20,14280.0
2018-05-07,749.0,735.0,749.0,721.0,28.0,2,20,14840.0
2018-05-08,793.0,763.0,793.0,749.0,44.0,3,30,23340.0
2018-05-09,824.0,808.0,824.0,793.0,31.0,2,20,16320.0
2018-05-10,873.0,840.0,873.0,824.0,49.0,3,30,25690.0
2018-05-14,890.0,890.0,890.0,873.0,17.0,1,10,8900.0
2018-05-16,907.0,907.0,907.0,890.0,17.0,1,10,9070.0
2018-05-17,952.0,952.0,952.0,907.0,45.0,1,10,9520.0
2018-05-20,990.0,971.0,990.0,952.0,38.0,5,34,33470.0
2018-05-21,1009.0,1009.0,1009.0,990.0,19.0,1,10,10090.0
2018-05-23,1029.0,1029.0,1029.0,1009.0,20.0,2,79,124238.0
2018-05-27,1049.0,1049.0,1049.0,1029.0,20.0,1,12,12588.0
2018-05-28,1111.0,1069.0,1111.0,1049.0,62.0,3,32,34838.0
2018-05-29,1189.0,1166.0,1189.0,1111.0,78.0,2,24,28260.0
2018-06-04,1212.0,1212.0,1212.0,1189.0,23.0,2,14,16968.0
2018-06-07,1260.0,1236.0,1260.0,1212.0,48.0,2,24,29952.0
2018-06-10,1336.0,1285.0,1336.0,1260.0,76.0,5,46,60946.0
2018-06-11,1416.0,1362.0,1416.0,1336.0,80.0,7,44,61514.0
2018-06-12,1444.0,1444.0,1444.0,1416.0,28.0,2,316,503728.0
2018-06-13,1501.0,1472.0,1501.0,1444.0,57.0,3,24,35736.0
2018-06-14,1623.0,1531.0,1623.0,1501.0,122.0,5,46,72376.0
2018-06-17,1785.0,1655.0,1785.0,1623.0,162.0,8,96,167508.0
2018-06-18,1963.0,1820.0,1963.0,1785.0,178.0,7,66,125600.0
2018-06-19,2159.0,2002.0,2159.0,1963.0,196.0,42,740,1593016.0
2018-06-20,2374.0,2176.0,2216.0,2159.0,57.0,314,4813,10898329.0
