date,high,low,close,previous,diff,numtrans,tradedshares,volume
2017-05-16,246.0,234.0,246.0,,246.0,4,40,9600.0
2017-05-17,265.0,250.92,265.0,246.0,19.0,4,40,10309.2
2017-05-18,291.0,278.0,291.0,265.0,26.0,4,45,12790.0
2017-05-21,320.0,296.0,320.0,291.0,29.0,8,490,155950.0
2017-05-22,352.0,326.0,352.0,320.0,32.0,89,3075,1081580.0
2017-05-23,387.0,337.0,338.0,352.0,-14.0,900,60115,21873302.0
2017-05-24,335.0,316.0,329.0,338.0,-9.0,414,20312,6554912.0
2017-05-28,323.0,314.0,318.0,329.0,-11.0,179,8829,2797048.0
2017-05-30,324.0,292.0,299.0,318.0,-19.0,337,24367,7274615.0
2017-05-31,310.0,289.0,310.0,299.0,11.0,145,14943,4442445.0
2017-06-01,309.0,294.0,298.0,310.0,-12.0,105,5541,1656680.0
2017-06-04,299.0,286.0,297.0,298.0,-1.0,101,4147,1214799.0
2017-06-05,302.0,288.0,291.0,297.0,-6.0,180,6799,2018150.0
2017-06-06,296.0,280.0,292.0,291.0,1.0,185,18296,5249692.0
2017-06-07,291.0,278.0,280.0,292.0,-12.0,192,18642,5284180.0
2017-06-08,285.0,272.0,282.0,280.0,2.0,137,7726,2142789.0
2017-06-11,287.0,269.0,272.0,282.0,-10.0,144,3025,823224.0
2017-06-12,277.0,264.0,270.0,272.0,-2.0,100,3103,833091.0
2017-06-13,272.0,258.0,261.0,270.0,-9.0,127,5396,1424284.0
2017-06-14,275.0,253.0,275.0,261.0,14.0,119,5417,1409440.0
2017-06-15,275.0,266.0,266.0,275.0,-9.0,68,5306,1430538.0
2017-06-18,265.0,256.0,260.0,266.0,-6.0,55,2859,744786.0
2017-06-19,267.0,247.0,255.0,260.0,-5.0,91,6232,1592150.0
2017-06-20,260.0,245.0,260.0,255.0,5.0,62,2615,656916.0
2017-06-21,265.0,249.0,265.0,260.0,5.0,61,2045,528066.0
2017-06-22,270.0,255.0,267.0,265.0,2.0,39,1747,450632.0
2017-06-25,270.0,253.0,258.0,267.0,-9.0,47,3245,840225.0
2017-06-27,260.0,249.0,255.0,258.0,-3.0,62,2025,520610.0
2017-06-28,256.0,250.0,253.0,255.0,-2.0,41,1953,496857.0
2017-07-02,250.0,242.0,246.0,253.0,-7.0,67,3408,838798.0
2017-07-03,250.0,241.0,241.0,246.0,-5.0,70,4484,1106694.0
2017-07-04,245.0,238.0,238.0,241.0,-3.0,76,1526,368918.0
2017-07-05,246.0,236.0,242.0,238.0,4.0,50,1250,299846.0
2017-07-06,255.0,238.0,255.0,242.0,13.0,51,1462,355244.0
2017-07-09,260.0,250.0,260.0,255.0,5.0,63,4474,1132740.0
2017-07-10,260.0,248.0,250.0,260.0,-10.0,100,7216,1858792.0
2017-07-11,255.0,246.0,250.0,250.0,,47,2555,636446.0
2017-07-12,250.0,245.0,250.0,250.0,,59,1985,492111.0
2017-07-13,250.0,238.0,243.0,250.0,-7.0,163,3924,952642.0
2017-07-16,244.0,239.0,241.0,243.0,-2.0,23,359,86326.0
2017-07-17,257.0,238.0,257.0,241.0,16.0,164,3747,904611.0
2017-07-18,272.0,241.0,272.0,257.0,15.0,122,2191,544996.0
2017-07-20,267.0,248.0,254.0,272.0,-18.0,87,7991,2026387.0
2017-07-23,249.0,243.0,246.0,254.0,-8.0,57,1556,381117.0
2017-07-24,250.0,242.0,250.0,246.0,4.0,84,5596,1359019.0
2017-07-25,245.0,233.0,240.0,250.0,-10.0,48,8800,2098155.0
2017-07-26,252.0,240.0,240.0,240.0,,52,2062,501514.0
2017-07-27,244.0,234.0,240.0,240.0,,34,1427,341203.0
2017-07-30,247.0,232.0,243.0,240.0,3.0,85,3011,703988.0
2017-07-31,239.0,231.0,234.0,243.0,-9.0,36,767,179767.0
2017-08-01,241.0,231.0,237.0,234.0,3.0,82,1307,305419.0
2017-08-02,245.0,231.0,245.0,237.0,8.0,60,2560,612031.0
2017-08-03,245.0,231.0,245.0,245.0,,103,3579,836294.0
2017-08-06,241.0,229.0,229.0,245.0,-16.0,123,5604,1296588.0
2017-08-07,227.0,221.0,224.0,229.0,-5.0,115,5932,1329014.0
2017-08-09,223.0,213.0,214.0,224.0,-10.0,133,4429,954823.0
2017-08-10,213.0,209.0,212.0,214.0,-2.0,50,4095,863372.0
2017-08-13,210.0,202.0,207.0,212.0,-5.0,32,720,148357.0
