date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-10-17,214.2,194.8,214.2,,19.4,98,950,202785
2022-10-19,235.6,218.4,235.6,214.2,21.4,175,4133,972922.8
2022-10-20,259.1,240.3,259.1,235.6,23.5,196,4194,1085641.4
2022-10-23,285,264.2,285,259.1,25.9,96,1430,406202
2022-10-31,313.5,290.7,313.5,285,28.5,436,9267,2904644.5
2022-11-01,326,284.2,312,313.5,-1.5,1369,25937,7741304.1
2022-11-02,324,301,314.9,312,2.9,500,8948,2744784
2022-11-03,314,302,310,314.9,-4.899999999999977,225,2800,857149
2022-11-06,316,300,314.9,310,4.899999999999977,220,3509,1081365
2022-11-07,320.5,307.3,310.8,314.9,-4.099999999999966,176,3785,1183644
2022-11-08,310,301.3,310,310.8,-0.8000000000000114,156,4134,1269395.8
2022-11-09,307.5,296.1,305,310,-5,106,2350,709359
2022-11-10,305,296,302.9,305,-2.1000000000000227,104,2710,813470
2022-11-13,305,291.1,299.9,302.9,-3,115,1750,522094
2022-11-14,306.5,290.3,300.1,299.9,0.20000000000004547,106,1270,380511
2022-11-15,312.1,290.2,306.1,300.1,6,189,6202,1856588
2022-11-16,316.2,300.9,316.2,306.1,10.099999999999966,151,5400,1665368
2022-11-22,382.5,341,361,347.8,13.199999999999989,245,12334,4528371.1
2022-11-23,365,347.6,365,361,4,136,9855,3522782.4
2022-11-24,375.3,357,375.3,365,10.300000000000011,154,3276,1197333
2022-11-27,376,362,376,375.3,0.6999999999999886,166,3780,1400369.5
2022-11-28,381,362.6,363,376,-13,80,2909,1067119
2022-11-29,370,356,367,363,4,91,1330,480632
2022-11-30,364,355,364,367,-3,84,1890,678428
2022-12-01,371.2,355,355,364,-9,91,4035,1442469
2022-12-04,378.7,350,353,355,-2,157,5590,2030483
2022-12-05,365,347.1,364,353,11,126,2589,923079.5
2022-12-06,362,354,356,364,-8,75,1340,481712
2022-12-07,359.1,350.6,359,356,3,85,3060,1079125
2022-12-11,362,346,350,359,-9,98,2720,951752
2022-12-12,357,343,352,350,2,94,1600,557031
2022-12-13,352,345.1,350,352,-2,51,780,271766
2022-12-14,362,345,358,350,8,102,2642,934690
2022-12-15,361,344.3,350,358,-8,89,3790,1323703.5
2022-12-18,350,335,349,350,-1,92,2320,790657.5
2022-12-19,347,335.3,347,349,-2,67,1725,584011
2022-12-20,350,336,349.9,347,2.8999999999999773,73,1365,469070
2022-12-21,353.9,335,339.9,349.9,-10,68,2510,848726
2022-12-22,373.8,333.6,358,339.9,18.100000000000023,91,3110,1055405.5
2022-12-26,365,346,364,358,6,101,3049,1092960
2022-12-27,371.2,350.2,365,364,1,114,9845,3545705.8
2022-12-28,365,350,359,365,-6,74,3060,1090746
2022-12-29,373,345,372,359,13,104,5102,1842340.5
2023-01-01,390,360,369,372,-3,109,7760,2895679
2023-01-02,383.5,360,375,369,6,112,2160,799948
2023-01-03,385,366.1,378,375,3,136,12100,4487503.2
2023-01-04,410,375,400,378,22,162,4586,1790190.1
2023-01-05,425,388,425,400,25,162,5825,2346118
2023-01-08,435,403.2,412,425,-13,153,4695,1984146
2023-01-09,419.8,398,416,412,4,175,7575,3110364.1
2023-01-10,430,385.4,390,416,-26,224,11942,4902028.5
2023-01-12,410.9,388,388,390,-2,197,14067,5640960
2023-01-17,421.2,382.2,419,388,31,166,5774,2335715
2023-01-18,447,407.7,417,419,-2,254,17334,7367365.4
2023-01-19,415,395,407.8,417,-9.199999999999989,168,5668,2299616
2023-01-23,416,399.7,401.3,407.8,-6.5,192,4575,1866590
2023-01-24,410,390,410,401.3,8.699999999999989,167,5004,1985086.4
2023-01-25,430,402,418.2,410,8.199999999999989,196,7544,3132869
2023-01-26,446.7,410,439.9,418.2,21.69999999999999,206,8963,3868375
2023-01-29,483.8,420,483,439.9,43.10000000000002,406,22851,10479321.1
2023-01-30,518.1,446,455,483,-28,360,15662,7612670.5
2023-01-31,475,440,462.1,455,7.100000000000023,234,9451,4283020
2023-02-01,495,453.7,487,462.1,24.899999999999977,296,15329,7384060.2
2023-02-02,510,469,492.9,487,5.899999999999977,304,19418,9580975.1
2023-02-05,494,465.1,475,492.9,-17.899999999999977,182,7161,3411561
2023-02-06,470.1,455,464,475,-11,122,6277,2910028
2023-02-07,481,457,481,464,17,188,4904,2322515
2023-02-08,487,456,470,481,-11,122,12304,5708429.5
2023-02-09,488.9,457.6,483,470,13,120,8975,4232276
2023-02-12,506,468,497,483,14,343,26647,13085040.9
2023-02-14,520.2,488,499.9,497,2.8999999999999773,259,9108,4552891.8
2023-02-15,515,485,487,499.9,-12.899999999999977,93,2480,1219613
2023-02-16,486,471.2,480,487,-7,126,6952,3322309.3
2023-02-20,474,455,470,480,-10,105,4853,2254005.8
2023-02-22,494,465.1,482,470,12,114,3840,1825967.5
2023-02-23,499,453.9,460,482,-22,87,4210,1943701
2023-02-26,468,442,450,460,-10,117,6923,3123202.1
2023-02-27,478.6,425,449,450,-1,153,12545,5551163
2023-02-28,473,443,459.6,449,10.600000000000023,108,3891,1798909
2023-03-01,460,451.1,459.9,459.6,0.2999999999999545,44,650,296028
2023-03-02,462.9,445,445,459.9,-14.899999999999977,69,2825,1265461.5
2023-03-05,445,430,438.6,445,-6.399999999999977,73,3731,1623439.5
2023-03-07,447.3,432.1,434.2,438.6,-4.400000000000034,45,740,323272
2023-03-09,467.1,433.2,460,434.2,25.80000000000001,109,3346,1524716
2023-03-12,461,444,450,460,-10,105,5106,2292113.5
2023-03-13,444,434.2,444,450,-6,61,1619,712487
2023-03-14,460.8,436.2,450,444,6,92,2360,1058446.5
2023-03-15,451.1,441.1,448,450,-2,58,2682,1198611.2
2023-03-16,456.8,439.1,455,448,7,63,1320,594021
2023-03-19,460,440,458,455,3,101,3730,1673322
2023-03-20,463.5,451,460,458,2,67,3323,1519324
2023-03-22,452.2,442.2,449,460,-11,47,2435,1096066
2023-03-23,449,428.5,438,449,-11,118,6680,2887152.5
2023-03-26,436,422.3,429,438,-9,93,4560,1954301
2023-03-27,433,420.6,433,429,4,68,2715,1162145
2023-03-28,440,424.7,435,433,2,72,2570,1115312
2023-03-29,443,425,442.4,435,7.399999999999977,58,1210,522655
2023-03-30,441.9,427,440,442.4,-2.3999999999999773,55,1654,722207.9
2023-04-02,448.8,418.6,425,440,-15,82,2835,1208986
2023-04-03,425.3,412,422.2,425,-2.8000000000000114,70,1400,583520
2023-04-04,429.9,414,422,422.2,-0.19999999999998863,40,517,215970.6
2023-04-05,429.5,406.7,426,422,4,42,455,189367
2023-04-06,425,410.6,411,426,-15,48,1413,588619
2023-04-09,410,395,398,411,-13,54,2160,869240
2023-04-10,400,386,395,398,-3,61,1710,668638
2023-04-11,405,392,392,395,-3,58,1920,766272
2023-04-12,431.2,393,428.8,392,36.80000000000001,91,4255,1751666
2023-04-13,445,412.2,416,428.8,-12.800000000000011,65,3262,1422215.9
2023-04-16,420,402,411.2,416,-4.800000000000011,51,580,239678
2023-04-17,410,400.1,408,411.2,-3.1999999999999886,44,907,365836
2023-04-18,408.1,400,405,408,-3,44,500,201010
2023-04-19,417.5,400,417.5,405,12.5,55,800,326251
2023-04-20,425,405.1,405.6,417.5,-11.899999999999977,25,734,298703
2023-04-23,405,396,396,405.6,-9.600000000000023,42,1500,597809
2023-04-24,405,388.5,405,396,9,51,1430,562122
2023-04-25,417.8,393,417.8,405,12.800000000000011,69,1415,568341
2023-04-26,415,399,408,417.8,-9.800000000000011,61,2440,986908
2023-04-27,401.5,393,395,408,-13,50,2926,1158310
2023-04-30,395,387.3,393,395,-2,37,790,307719
2023-05-02,391,381,387,393,-6,44,1133,438795.1
2023-05-03,390,374.5,376.5,387,-10.5,39,630,239342
2023-05-04,414,370.2,408,376.5,31.5,41,922,357538
2023-05-07,399.9,379.9,384.9,408,-23.100000000000023,48,796,307112
2023-05-08,380,369.9,374,384.9,-10.899999999999977,32,1027,387326.5
2023-05-09,389,367,368.1,374,-5.899999999999977,32,760,281603
2023-05-10,390.4,354,375,368.1,6.899999999999977,28,290,107084
2023-05-11,377,368,368,375,-7,24,837,311068
2023-05-14,367,355.2,360,368,-8,24,410,147348
2023-05-15,367.2,353,367,360,7,28,430,155580
2023-05-16,360,355,360,367,-7,12,120,42977
2023-05-17,370,353,370,360,10,50,1132,408969
2023-05-18,387.9,365,387,370,17,64,2062,783900
2023-05-21,394.6,381.3,392,387,5,36,2172,847005
2023-05-22,385,376.8,384.5,392,-7.5,39,2160,825326
2023-05-23,402,384,402,384.5,17.5,89,4334,1718825
2023-05-24,408,388.2,398.8,402,-3.1999999999999886,47,1400,551603
2023-05-28,430,389,389,398.8,-9.800000000000011,86,3339,1346145.6
2023-05-30,381.9,360.7,360.7,389,-28.30000000000001,55,2679,994911.9
2023-05-31,394,360,368.9,360.7,8.199999999999989,43,2030,739430.6
2023-06-01,380,355,366.1,368.9,-2.7999999999999545,36,480,176516
2023-06-04,387,368,385,366.1,18.899999999999977,54,1985,756917.5
2023-06-05,385,373.1,380,385,-5,28,430,163997
2023-06-06,384,372.4,384,380,4,49,1482,560484.6
2023-06-07,400,384,385,384,1,62,2972,1171952.2
2023-06-08,388,378,388,385,3,53,1740,663096
2023-06-11,396.2,380.5,395,388,7,85,2932,1143134
2023-06-12,390,380.6,390,395,-5,54,1770,679214.7
2023-06-13,404.9,382.5,400.1,390,10.100000000000023,88,3105,1239287
2023-06-14,418.8,397,403,400.1,2.8999999999999773,134,5886,2411149.2
2023-06-15,411,388,400.9,403,-2.1000000000000227,84,4811,1898189
2023-06-18,429.8,395,424,400.9,23.100000000000023,99,4090,1712499
2023-06-19,423.9,411.1,423.9,424,-0.10000000000002274,81,5001,2079215
2023-06-20,430,401.9,414,423.9,-9.899999999999977,57,1670,683432.8
2023-06-21,414,398,405,414,-9,74,2894,1173370
2023-06-22,399,388.5,391,405,-14,66,4160,1625876
2023-06-25,398,376.6,390,391,-1,81,5437,2104372.5
2023-06-26,402,383.1,383.1,390,-6.899999999999977,88,5721,2238682
2023-06-27,398.5,378.8,390,383.1,6.899999999999977,72,1124,436667
2023-06-28,408,380,408,390,18,97,4127,1596132.8
2023-07-02,404.8,376,386,408,-22,95,4468,1736678.6
2023-07-03,390,365.1,365.1,386,-20.899999999999977,81,4240,1606394.4
2023-07-04,385.2,363.1,376,365.1,10.899999999999977,49,512,189902
2023-07-05,383,362,364,376,-12,65,2810,1045947
2023-07-06,370,351,355.8,364,-8.199999999999989,79,3565,1280817.5
2023-07-09,370.2,351,368,355.8,12.199999999999989,64,3680,1334353
2023-07-10,383,357.7,362.1,368,-5.899999999999977,81,4254,1552810
2023-07-11,365,350.6,364,362.1,1.8999999999999773,69,3025,1076663.5
2023-07-12,381.9,357.1,380,364,16,68,1840,684915
2023-07-13,390,359.1,376,380,-4,54,2640,965256.8
2023-07-16,368.5,357.3,365,376,-11,35,440,158760
2023-07-17,379,351.1,375,365,10,71,1820,665185
2023-07-18,379,361.1,375,375,0,60,1960,727551
2023-07-19,382,355,377,375,2,52,3083,1117330
2023-07-20,375,356,359,377,-18,88,3749,1359187
2023-07-23,384,352,380,359,21,95,3256,1212029.9
2023-07-24,386.5,370,382,380,2,89,5244,1985385.7
2023-07-25,389,365,369,382,-13,64,3201,1190312
2023-07-26,379,365,365,369,-4,54,2008,743050
2023-07-27,372.2,357.1,367,365,2,64,2960,1069118.6
2023-07-30,372.9,358,364,367,-3,53,3140,1144559
2023-07-31,371,357.3,367,364,3,57,1067,386600.7
2023-08-01,374.3,354.2,364,367,-3,66,1785,651008
2023-08-02,378,353.9,378,364,14,62,1560,564937
2023-08-03,385.5,364.1,370,378,-8,33,1080,398536
2023-08-06,377,351,359,370,-11,36,1180,420655
2023-08-07,379,346,346,359,-13,89,3540,1252658.1
2023-08-08,373.3,340.6,343,346,-3,74,1216,423349
2023-08-09,360.9,337.3,360.9,343,17.899999999999977,74,1658,585231.1
2023-08-10,365.9,347.1,365.8,360.9,4.900000000000034,60,1542,549084.3
2023-08-13,367,346,365,365.8,-0.8000000000000114,88,1718,611516.8
2023-08-14,359,347.4,359,365,-6,54,1906,677969
2023-08-15,368,341.4,361,359,2,117,7596,2669540.1
