date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-04-04,638,573.9,573.9,624,-50.10000000000002,282,49679,28692878.1
2023-04-05,573.9,551,559,573.9,-14.899999999999977,228,23219,12904339.1
2023-04-06,568.9,550.9,566,559,7,109,14847,8287706.2
2023-04-09,555,546,550,566,-16,142,46237,25349241.2
2023-04-10,561,542,542,550,-8,102,7321,4007605
2023-04-11,549.9,534,548,542,6,124,20424,11039179.4
2023-04-12,575,555,575,548,27,188,43629,24616557
2023-04-13,587,560,569,575,-6,126,12096,6938361.6
2023-04-16,577.5,550.1,557,569,-12,117,19345,10864569.7
2023-04-17,558,552.1,553,557,-4,78,9853,5461587.8
2023-04-18,561.9,550.1,558.8,553,5.7999999999999545,81,15736,8715550.9
2023-04-19,571,555,571,558.8,12.200000000000045,114,14649,8264714.5
2023-04-20,585,571,579,571,8,193,28677,16622133.4
2023-04-23,579,570,572.1,579,-6.899999999999977,81,5153,2952696.1
2023-04-24,577,563,576,572.1,3.8999999999999773,71,4437,2536954.5
2023-04-25,606,566.8,602,576,26,174,35842,20744455.5
2023-04-26,612.9,590,590,602,-12,172,20075,11964524.3
2023-04-27,613.8,578.5,594,590,4,118,11143,6528905.6
2023-04-30,594,575,594,594,0,134,12512,7274570.5
2023-05-02,585,575.1,580,594,-14,46,2154,1248798.5
2023-05-03,580,568.5,570,580,-10,73,10962,6244039.4
2023-05-04,579,565,573,570,3,67,5359,3070595.5
2023-05-07,571,565.1,568.5,573,-4.5,32,4228,2405555.1
2023-05-08,570,562.2,569,568.5,0.5,66,13706,7751230.1
2023-05-09,580.3,558.1,569,569,0,45,3353,1898378.3
2023-05-10,579.9,564,577.8,569,8.799999999999955,76,13874,7925370.6
2023-05-11,589,568,575,577.8,-2.7999999999999545,65,14119,8116471.6
2023-05-14,586,564,567.6,575,-7.399999999999977,52,5990,3419723.6
2023-05-15,570,561,563,567.6,-4.600000000000023,96,13421,7573062.7
2023-05-16,570,552.1,569,563,6,75,7381,4157414.4
2023-05-17,604,565,603.9,569,34.89999999999998,118,14951,8662478.2
2023-05-18,615,587,603.1,603.9,-0.7999999999999545,159,13730,8275036.5
2023-05-21,614.9,597,614,603.1,10.899999999999977,161,26530,16054464.3
2023-05-22,630,598,622,614,8,147,17368,10631609.3
2023-05-23,644,621.5,644,622,22,187,21920,13893611
2023-05-24,669,637,668,644,24,211,37717,24766300.6
2023-05-28,672,641,653,668,-15,176,23891,15647931.8
2023-05-30,643,621,622.9,653,-30.100000000000023,161,33440,20929434.8
2023-05-31,634,598.3,606,622.9,-16.899999999999977,162,22279,13560400.2
2023-06-01,620,597.2,614.9,606,8.899999999999977,141,24326,14778108.7
2023-06-04,649.9,625,647,614.9,32.10000000000002,141,17941,11390427.7
2023-06-05,649,635.3,637,647,-10,130,42859,27447702.1
2023-06-06,688,635.1,687,637,50,408,61375,40853219.3
2023-06-07,705,673.2,680.4,687,-6.600000000000023,280,38855,26737648.4
2023-06-08,730,678,715,680.4,34.60000000000002,361,135410,96313509.7
2023-06-11,728,708,723,715,8,252,47664,34131158.7
2023-06-12,758.3,703,758,723,35,327,70557,50483048.8
2023-06-13,805,729,760,758,2,451,73729,55767926.7
2023-06-14,769.9,742.9,767,760,7,433,79981,60661816.9
2023-06-15,775,751.7,773.5,767,6.5,266,45913,34977322
2023-06-18,805,768,804.5,773.5,31,427,74556,58879794.5
2023-06-19,801,766,766,804.5,-38.5,333,38691,30233299.5
2023-06-20,781.3,744,744,766,-22,217,33666,25598782.4
2023-06-21,780,720,745.1,744,1.1000000000000227,200,35473,26780247
2023-06-22,774.8,733,765,745.1,19.899999999999977,274,39408,30155090.7
2023-06-25,809.9,775,799.8,765,34.799999999999955,561,94310,75150333.9
2023-06-26,817,784,787.5,799.8,-12.299999999999955,276,59647,47421620.6
2023-06-27,795,773,789,787.5,1.5,259,34963,27451244.3
2023-06-28,797,774,781.2,789,-7.7999999999999545,357,51984,40827519.9
2023-07-02,804,776,780,781.2,-1.2000000000000455,367,70924,56150359.7
2023-07-03,787.9,769,780,780,0,200,29941,23279408.6
2023-07-04,795,765,769.8,780,-10.200000000000045,280,35638,27565102.7
2023-07-05,775,745,745,769.8,-24.799999999999955,226,28027,21225180.1
2023-07-06,757.8,735,743.5,745,-1.5,209,23253,17272517
2023-07-09,772.1,729.1,765,743.5,21.5,257,26810,20333480.5
2023-07-10,779.9,754,760,765,-5,217,44712,34030988.6
2023-07-11,766,750,756,760,-4,162,30911,23346631.4
2023-07-12,780,750,775,756,19,326,74539,57011732
2023-07-13,795,775,777,775,2,260,67669,52823156.7
2023-07-16,786,769,778.5,777,1.5,159,26888,20832678.2
2023-07-17,795,774,795,778.5,16.5,204,44388,34940459.2
2023-07-18,830,797,824,795,29,829,142223,116611000.9
2023-07-19,837,808,814.9,824,-9.100000000000023,385,73568,59983868.8
2023-07-20,826,800.5,808,814.9,-6.899999999999977,244,33516,27119387.6
2023-07-23,831,792,817.1,808,9.100000000000023,299,61784,50485351.9
2023-07-24,829,801,819.8,817.1,2.699999999999932,245,48083,39146584
2023-07-25,823,805,806,819.8,-13.799999999999955,228,29586,24028752
2023-07-26,821,791,798,806,-8,191,36345,29171567.5
2023-07-27,816,780,783,798,-15,225,25154,19916378.5
2023-07-30,783,756,767,783,-16,242,28784,22046442.7
2023-07-31,779,754,758.1,767,-8.899999999999977,192,29771,22732589.3
2023-08-01,772.9,733.1,740,758.1,-18.100000000000023,268,37692,28435055.4
2023-08-02,759.8,728,749,740,9,177,16695,12391906.2
2023-08-03,760.5,741.1,749.8,749,0.7999999999999545,125,7701,5783396.7
2023-08-06,744,725.2,731.1,749.8,-18.699999999999932,146,20399,14932769.9
2023-08-07,760,717,745,731.1,13.899999999999977,126,11886,8791762.9
2023-08-08,759,716,728,745,-17,123,9275,6773034.1
2023-08-09,757,711.1,749,728,21,164,13590,9959416.9
2023-08-10,769.9,742,756,749,7,156,19125,14499724.3
2023-08-13,821,750,821,756,65,211,26962,20725595.4
2023-08-14,804.6,767,768,821,-53,192,24228,18946992.8
2023-08-15,780,753.5,769,768,1,162,29201,22210390.1
2023-08-16,767,742,754,769,-15,145,30824,23198578.9
2023-08-17,768,748.1,754.9,754,0.8999999999999773,106,12550,9484102.8
2023-08-20,768.9,730.2,737,754.9,-17.899999999999977,106,13432,9941970
2023-08-21,750,725.2,750,737,13,100,13554,9947563.5
2023-08-22,746.5,730,735.1,750,-14.899999999999977,110,15112,11117348.1
2023-08-23,767,737,755,735.1,19.899999999999977,162,28793,21781637.3
2023-08-24,777,747,747,755,-8,191,22472,17052251.3
2023-08-27,742,730.1,741.9,747,-5.100000000000023,77,5040,3701425.3
2023-08-28,755,732.1,739,741.9,-2.8999999999999773,82,12943,9566260.5
2023-08-29,745,735.4,738,739,-1,140,15623,11538098.2
2023-08-30,748,730.2,734.5,738,-3.5,180,20141,14854979.7
2023-09-03,735,720,722,734.5,-12.5,115,13776,9968903.8
2023-09-04,737,719,728.9,722,6.899999999999977,105,20045,14570013.1
2023-09-05,742,725,730,728.9,1.1000000000000227,57,4820,3507043.5
2023-09-07,744.6,716,719,730,-11,79,9374,6784887.8
2023-09-10,736,711,720.1,719,1.1000000000000227,73,5940,4301351.5
2023-09-11,792.1,717,791,720.1,70.89999999999998,155,16735,12426833.6
2023-09-12,775.2,736,745,791,-46,115,18248,13600456.2
2023-09-13,766.9,736,759,745,14,113,14397,10886579.4
2023-09-17,773,732.2,735,759,-24,109,12421,9220027.9
2023-09-18,778,725.5,735.4,735,0.39999999999997726,36,4790,3523973.5
2023-09-19,769.7,702,738.3,735.4,2.8999999999999773,87,15622,11490970
2023-09-21,760,745,752,738.3,13.700000000000045,144,17881,13479806.5
2023-09-24,766,737,740,752,-12,134,9239,6897476.1
2023-09-25,758,725.2,744,740,4,83,9512,7062549
2023-09-26,773.9,731.5,738,744,-6,164,43788,32271268.9
2023-09-27,740,729,731,738,-7,122,11779,8616667.3
2023-10-01,738,722,728,731,-3,71,5075,3685692.8
2023-10-02,739,720,726.6,728,-1.3999999999999773,74,5625,4096580.1
2023-10-03,734.4,720,723,726.6,-3.6000000000000227,98,13353,9654765
2023-10-04,733,722,724,723,1,72,8929,6475304.7
2023-10-05,730,716,725,724,1,96,9615,6925069.2
2023-10-08,715,700,705,725,-20,95,14851,10484313
2023-10-09,710,695,698,705,-7,85,9188,6412905.7
2023-10-10,700,678.1,678.1,698,-19.899999999999977,93,12182,8344041.5
2023-10-11,693.6,671,687,678.1,8.899999999999977,80,7126,4862564.3
2023-10-12,686.2,674.1,686,687,-1,106,17356,11790912.8
2023-10-16,754.6,673,740,686,54,95,8999,6169660
2023-10-17,725.2,690,710,740,-30,137,15425,10834158.1
2023-10-18,724,690,717,710,7,81,10515,7464885.6
2023-10-19,716,695,714,717,-3,57,6722,4744141.6
2023-10-29,702,692,702,714,-12,51,4737,3289868.3
2023-10-30,710,688,708.9,702,6.899999999999977,67,6706,4690596.9
2023-10-31,712,692,699,708.9,-9.899999999999977,27,1701,1184351.9
2023-11-01,700,685,698.6,699,-0.39999999999997726,61,6802,4715379.6
2023-11-02,699,685.1,685.1,698.6,-13.5,51,9116,6275260
2023-11-05,685,673.2,685,685.1,-0.10000000000002274,46,6253,4226996.8
2023-11-06,753,672.1,753,685,68,90,7218,4916416.1
2023-11-07,738,687,707.9,753,-45.10000000000002,85,4506,3153250
2023-11-08,714.9,693.9,695,707.9,-12.899999999999977,33,2116,1478079.2
2023-11-09,723,690,701,695,6,56,4783,3310686.2
2023-11-20,715.1,700,714,701,13,75,9983,7060792.4
2023-11-21,701,689,700,714,-14,45,2704,1869319.4
2023-11-22,711,686,710,700,10,45,4184,2907250
2023-11-23,715,688,708,710,-2,45,4565,3222233.8
2023-11-26,722,706,721,708,13,116,14313,10248799.6
2023-11-27,735,716.1,722,721,1,107,9507,6888005.7
2023-11-28,728,716,725,722,3,67,8150,5903099.1
2023-11-29,738,710.6,720,725,-5,40,2773,1989498.4
2023-11-30,728,701,710,720,-10,70,6151,4359378.4
2023-12-03,723,696,699,710,-11,49,3659,2556216.4
2023-12-04,710,697,697.1,699,-1.8999999999999773,39,2519,1767099.4
2023-12-05,700,680,688,697.1,-9.100000000000023,97,8023,5516014
2023-12-06,701,681.5,683.5,688,-4.5,51,2945,2023890.3
2023-12-07,715,675,691.3,683.5,7.7999999999999545,116,19333,13583476.3
2023-12-10,747,705.1,747,691.3,55.700000000000045,10,1270,931456.8
2023-12-11,759,724,750,747,3,224,34220,25432170.7
2023-12-12,785,751.1,778.9,750,28.899999999999977,254,28993,22227138.7
2023-12-13,779,760,764,778.9,-14.899999999999977,127,23666,18143538.2
2023-12-14,777,744.8,744.8,764,-19.200000000000045,62,5775,4361150.4
2023-12-17,759,727,751,744.8,6.2000000000000455,181,28206,21103096
2023-12-18,765,748.1,755,751,4,191,42960,32474241.3
2023-12-19,776,756,774,755,19,176,14367,11036472.6
2023-12-20,800,768,772,774,-2,181,36923,28693652.8
2023-12-21,785,745,768,772,-4,187,20359,15506655.3
2023-12-24,779.9,753,760,768,-8,154,26797,20496818.8
2023-12-27,772,755,765,760,5,175,24004,18291157.3
2023-12-28,776,753,760,765,-5,234,41226,31548256.1
2024-01-01,780,758,767,760,7,164,21054,16187586.6
2024-01-02,764,744,751,767,-16,117,9341,7034117.8
2024-01-03,823,736,823,751,72,242,56965,43265941.1
2024-01-04,823,763,769,823,-54,308,78543,60738876.8
2024-01-07,784,745,745,769,-24,159,15096,11424945.9
2024-01-08,759.9,745,752.3,745,7.2999999999999545,145,12885,9669744
2024-01-09,771,753,753,752.3,0.7000000000000455,158,27510,20990166.7
2024-01-10,795.9,751.1,756.2,753,3.2000000000000455,111,14389,10945458.9
2024-01-11,759.9,751.1,759.9,756.2,3.699999999999932,92,13780,10390917.1
2024-01-14,773,748,754,759.9,-5.899999999999977,134,12647,9553413.1
2024-01-16,770,749.7,760,754,6,182,23619,17945909.8
2024-01-17,777.2,756,763,760,3,235,39130,29989485.9
2024-01-18,760.9,750,751,763,-12,136,17395,13119751.5
2024-01-21,763,748,759.8,751,8.799999999999955,115,20482,15415872.8
2024-01-22,758,740,742,759.8,-17.799999999999955,118,10040,7513848.5
2024-01-23,750,731.1,738,742,-4,120,41593,30693154.4
2024-01-24,750,733,738,738,0,83,20719,15357283.8
2024-01-25,752.7,725,743,738,5,137,13902,10183483.7
2024-01-28,743,733.5,736.4,743,-6.600000000000023,79,5371,3953400.9
2024-01-29,745,733,742,736.4,5.600000000000023,101,10884,8036110.9
2024-01-30,745.5,736.2,737,742,-5,112,13189,9773184
2024-01-31,745,721,722,737,-15,132,16754,12278978.6
2024-02-01,736,702,704,722,-18,142,15457,11044644.5
2024-02-04,717,700.1,716.8,704,12.799999999999955,114,13047,9217043.7
2024-02-05,716.8,693,696,716.8,-20.799999999999955,305,19432,13587092
2024-02-06,704,696,700,696,4,167,11389,7957990.9
2024-02-07,714,698,705,700,5,115,10999,7718822
2024-02-08,714,698,710,705,5,93,7024,4946577.4
2024-02-11,750,700,713,710,3,138,7764,5543677.9
2024-02-12,741,716,740,713,27,231,31743,23209478.9
2024-02-13,740.2,725,725,740,-15,163,17647,12889746.4
2024-02-14,765.6,725,750,725,25,154,18213,13489228
2024-02-15,759,732,733,750,-17,114,8050,5958243.9
2024-02-18,740,719,719,733,-14,114,15824,11496127.1
2024-02-20,733,721,727.6,719,8.600000000000023,102,9818,7150318.1
2024-02-21,742,727.1,733.9,727.6,6.2999999999999545,147,12403,9125083.3
2024-02-22,740,715.5,720,733.9,-13.899999999999977,227,18774,13662752.8
2024-02-25,728,709,724,720,4,177,25753,18608331.1
2024-02-26,729,715,719,724,-5,79,8551,6148649.3
2024-02-27,732,719,722,719,3,57,9184,6637334.2
2024-02-28,734.8,714,724,722,2,50,4793,3445219.4
2024-02-29,730,714.3,724,724,0,114,17110,12331722.3
2024-03-03,723,706,715.2,724,-8.799999999999955,84,15294,10946742.5
2024-03-04,773,726.5,769,715.2,53.799999999999955,15,1470,1127969
2024-03-05,753.7,722,730,769,-39,115,20317,14868976.1
2024-03-06,742,715.1,733,730,3,104,13754,9968894.2
2024-03-07,747,726.5,744,733,11,105,7432,5467855.2
2024-03-10,760,741.1,760,744,16,165,29692,22368615.6
2024-03-12,783,761.3,780,760,20,273,29025,22426863.9
2024-03-13,795.6,766.2,776,780,-4,140,16723,12962129.7
2024-03-14,783,761,768.3,776,-7.7000000000000455,189,35770,27720636.6
2024-03-17,770,753,769,768.3,0.7000000000000455,116,13126,10050630.1
2024-03-18,768,757.2,765,769,-4,70,7751,5918731
2024-03-19,775,760,765,765,0,88,6832,5238940.2
2024-03-20,775,757,758,765,-7,81,7654,5836178.7
2024-03-21,770,743,745.1,758,-12.899999999999977,60,6515,4890240
2024-03-25,759,735,736,745.1,-9.100000000000023,83,8158,6030250.8
2024-03-26,747,730.2,740,736,4,49,4875,3612377.1
2024-03-27,752.9,733.1,743.6,740,3.6000000000000227,64,18612,13732432.7
2024-03-28,744,730,737,743.6,-6.600000000000023,80,11150,8177873.1
