date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-28,301.0,301.0,301.0,346.0,-45.0,2,25,7525.0
2010-05-17,307.0,307.0,307.0,301.0,6.0,1,156,47892.0
2010-09-05,307.0,307.0,307.0,307.0,,9,17751,5449557.0
2010-09-06,307.0,307.0,307.0,307.0,,9,9498,2915886.0
2010-09-26,313.0,313.0,313.0,307.0,6.0,1,33,10329.0
2010-09-27,313.0,313.0,313.0,313.0,,1,52,16276.0
2010-10-31,307.0,307.0,307.0,313.0,-6.0,1,60,18420.0
2010-11-16,313.0,313.0,313.0,307.0,6.0,1,24,7512.0
2010-11-24,307.0,307.0,307.0,313.0,-6.0,2,3676,1128532.0
2011-02-22,307.0,307.0,307.0,307.0,,5,677,207839.0
2012-02-01,256.0,256.0,256.0,307.0,-51.0,1,10,2560.0
2012-02-13,261.0,261.0,261.0,256.0,5.0,1,10,2610.0
2012-09-13,202.0,202.0,202.0,261.0,-59.0,1,10,2020.0
2012-10-15,218.0,206.0,218.0,202.0,16.0,4,57,12102.0
2012-10-17,226.0,222.0,226.0,218.0,8.0,2,41,9206.0
2013-06-23,209.0,209.0,209.0,226.0,-17.0,1,36,7524.0
2013-09-05,213.0,213.0,213.0,209.0,4.0,1,15,3195.0
2014-02-25,217.0,217.0,217.0,213.0,4.0,1,108,23436.0
2014-03-20,217.0,217.0,217.0,217.0,,1,10,2170.0
2014-07-13,204.0,200.0,204.0,197.0,7.0,2,167,34028.0
2014-11-20,208.0,208.0,208.0,204.0,4.0,1,663,137904.0
2014-11-23,212.0,212.0,212.0,208.0,4.0,1,72,15264.0
2015-03-02,224.0,216.0,224.0,212.0,12.0,3,220,49160.0
2015-03-04,235.0,235.0,235.0,224.0,11.0,2,1420,333700.0
2015-04-23,210.0,210.0,210.0,214.0,-4.0,2,21279,4468590.0
2015-05-25,220.0,220.0,220.0,210.0,10.0,5,5451,1199220.0
2015-07-22,224.0,224.0,224.0,220.0,4.0,5,14553,3259872.0
2015-09-03,228.0,228.0,228.0,224.0,4.0,1,3654,833112.0
2015-09-29,236.0,232.0,236.0,228.0,8.0,2,4305,1000736.0
2016-06-28,215.0,215.0,215.0,205.0,10.0,2,450,96750.0
2016-11-21,223.0,219.0,223.0,215.0,8.0,2,1195,266445.0
2016-12-21,231.0,227.0,231.0,223.0,8.0,2,37,8507.0
2017-01-19,239.0,235.0,239.0,231.0,8.0,2,111,26485.0
2017-03-29,251.0,243.0,251.0,239.0,12.0,3,17675,4299921.0
2017-04-03,261.0,256.0,261.0,251.0,10.0,2,160,41710.0
2017-04-25,276.0,266.0,276.0,261.0,15.0,3,562,153622.0
2017-05-11,286.0,281.0,286.0,276.0,10.0,2,318,90898.0
2017-07-25,246.0,242.0,246.0,238.0,8.0,2,1499,368714.0
2017-11-06,255.0,250.0,255.0,246.0,9.0,2,1468,374290.0
2017-11-15,,,,255.0,,1,1,260.0
2017-11-26,265.0,260.0,265.0,255.0,10.0,2,43,11345.0
2017-12-13,,,,265.0,,12,100,27000.0
2018-02-04,280.0,270.0,280.0,265.0,15.0,3,71,19675.0
2018-02-12,308.0,285.0,308.0,280.0,28.0,7,1806,538562.0
2018-05-27,250.0,250.0,250.0,246.0,4.0,1,10,2500.0
2018-06-20,,,,250.0,,1,1,255.0
2018-07-16,260.0,255.0,260.0,250.0,10.0,3,1913,497330.0
2018-08-06,270.0,265.0,270.0,260.0,10.0,2,201,54215.0
2018-08-09,280.0,275.0,280.0,270.0,10.0,2,1778,497790.0
2018-08-12,290.0,285.0,290.0,280.0,10.0,2,190,55050.0
2018-08-21,304.0,304.0,304.0,290.0,14.0,1,10,3040.0
2018-09-06,319.0,319.0,319.0,304.0,15.0,1,10,3190.0
2018-09-17,334.0,334.0,334.0,319.0,15.0,1,10,3340.0
2018-09-23,364.0,350.0,364.0,334.0,30.0,3,496,180334.0
2018-09-30,378.0,371.0,378.0,364.0,14.0,2,148,55874.0
2018-11-15,415.0,415.0,415.0,378.0,37.0,1,10,4150.0
2019-01-02,435.0,435.0,435.0,415.0,20.0,1,10,4350.0
2019-01-08,456.0,456.0,456.0,435.0,21.0,1,10,4560.0
2019-01-14,478.0,478.0,478.0,456.0,22.0,1,10,4780.0
2019-01-30,501.0,501.0,501.0,478.0,23.0,1,10,5010.0
2019-05-06,440.0,420.0,440.0,400.8,39.2,4,1403,601384.0
2019-06-12,484.0,462.0,484.0,440.0,44.0,4,3010,1439620.0
2019-07-04,484.0,484.0,484.0,484.0,,1,8,3944.0
2019-07-07,484.0,484.0,484.0,484.0,,1,2,986.0
2019-07-08,484.0,484.0,484.0,484.0,,1,62000,30008000.0
2019-07-15,484.0,484.0,484.0,484.0,,1,8000,3872000.0
2019-07-31,493.0,493.0,493.0,484.0,9.0,1,10,4930.0
2019-08-07,527.0,517.0,527.0,493.0,34.0,2,20,10440.0
2019-08-11,575.0,553.0,575.0,527.0,48.0,3,229,131345.0
2019-08-26,603.0,603.0,603.0,575.0,28.0,1,10,6030.0
2019-09-16,627.0,615.0,627.0,603.0,24.0,2,20,12420.0
2019-09-23,658.0,658.0,658.0,627.0,31.0,1,10,6580.0
2019-11-05,658.0,658.0,658.0,658.0,,1,40000,26320000.0
2019-11-06,723.0,671.0,723.0,658.0,65.0,5,50,34850.0
2019-11-07,795.0,737.0,795.0,723.0,72.0,7,3285,2610125.0
2019-11-13,858.0,810.0,858.0,795.0,63.0,4,24357,20508274.0
2019-11-14,943.0,875.0,943.0,858.0,85.0,5,50,45460.0
2019-11-17,1037.0,961.0,1037.0,943.0,94.0,5,50,49950.0
2019-11-18,1140.0,1057.0,1140.0,1037.0,103.0,6,150,168940.0
2019-11-19,1254.0,1162.0,1254.0,1140.0,114.0,9,348,434102.0
2019-11-20,1379.0,1279.0,1379.0,1254.0,125.0,9,659,906291.0
2019-11-21,1516.0,1406.0,1516.0,1379.0,137.0,148,7993,12042967.0
2019-11-24,1607.0,1365.0,1365.0,1516.0,-151.0,80,4851,6983360.0
