date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-10-31,259.2,254.2,259.2,,5.0,2,20,5134.0
2021-11-01,269.5,259.2,269.5,259.2,10.3,4,22,5854.2
2021-11-02,285.8,274.8,285.8,269.5,16.3,5,38,10647.2
2021-11-03,300.2,288.7,300.2,285.8,14.4,5,40,11705.1
2021-11-08,330.2,300.2,330.2,300.2,30.0,18,130,41305.8
2021-11-09,363.2,336.8,363.2,330.2,33.0,17,170,61095.0
2021-11-11,399.5,370.4,399.5,363.2,36.3,31,309,122727.8
2021-11-14,439.4,407.4,439.4,399.5,39.9,53,530,232095.0
2021-11-15,483.3,448.1,483.3,439.4,43.9,76,3302,1594638.6
2021-11-16,531.6,492.9,531.6,483.3,48.3,209,2260,1200368.0
2021-11-17,584.7,542.2,584.7,531.6,53.1,177,1840,1074379.0
2021-11-18,643.1,596.3,643.1,584.7,58.4,2311,40896,26029588.2
2021-11-21,655.9,602.0,616.0,643.1,-27.1,2021,25206,15762591.0
2021-11-22,616.0,590.0,600.0,616.0,-16.0,1217,14200,8460547.0
2021-11-23,595.0,585.0,588.0,600.0,-12.0,531,6265,3688080.8
2021-11-24,599.7,554.4,575.0,588.0,-13.0,433,8705,4972471.5
2021-11-25,587.0,569.2,570.0,575.0,-5.0,367,7276,4183681.6
2021-11-28,591.6,526.0,548.1,570.0,-21.9,322,9850,5420410.0
2021-11-29,565.0,538.0,546.3,548.1,-1.8,273,5680,3132511.0
2021-11-30,590.9,538.0,585.0,546.3,38.7,349,5912,3314131.0
2021-12-01,595.0,556.0,570.0,585.0,-15.0,173,3338,1902363.0
2021-12-02,570.0,544.0,565.0,570.0,-5.0,259,8735,4858539.0
2021-12-05,570.0,529.2,549.9,565.0,-15.1,238,5217,2840928.9
2021-12-06,560.0,507.0,539.9,549.9,-10.0,233,6515,3419928.0
2021-12-07,550.0,515.0,524.9,539.9,-15.0,177,6517,3419647.1
2021-12-08,518.0,499.0,509.0,524.9,-15.9,147,4730,2395931.5
2021-12-09,527.0,500.0,507.0,509.0,-2.0,114,3765,1898855.0
2021-12-12,507.0,461.3,489.9,507.0,-17.1,103,5500,2627234.0
2021-12-13,489.8,445.0,445.0,489.9,-44.9,115,3131,1419992.5
2021-12-14,489.5,437.0,489.5,445.0,44.5,79,2824,1354829.9
2021-12-15,510.0,451.5,480.5,489.5,-9.0,139,6477,3123590.0
2021-12-16,490.0,453.9,454.1,480.5,-26.4,84,3080,1420685.0
2021-12-20,453.9,420.0,430.0,454.1,-24.1,93,3160,1377966.0
2021-12-21,438.6,415.1,416.0,430.0,-14.0,120,7301,3096587.6
2021-12-22,452.0,424.0,443.0,416.0,27.0,109,6721,2910865.9
2021-12-23,459.0,425.4,430.0,443.0,-13.0,109,4101,1794864.7
2021-12-26,445.0,425.1,434.4,430.0,4.4,109,2611,1124244.1
2021-12-27,434.0,414.0,415.0,434.4,-19.4,84,3090,1301527.0
2021-12-28,431.0,404.0,419.0,415.0,4.0,92,3243,1351425.2
2021-12-29,422.0,405.0,415.0,419.0,-4.0,89,2891,1187995.0
2022-01-02,428.9,408.0,428.0,415.0,13.0,106,2170,909541.0
2022-01-03,430.0,415.5,427.3,428.0,-0.7,83,2585,1091430.5
2022-01-04,430.0,408.1,426.0,427.3,-1.3,74,1800,755491.0
2022-01-05,460.0,425.0,449.0,426.0,23.0,220,11440,5125003.0
2022-01-06,493.9,432.0,493.9,449.0,44.9,265,15247,7350514.2
2022-01-09,530.0,487.1,522.0,493.9,28.1,239,15407,7826020.0
2022-01-10,550.8,501.0,517.0,522.0,-5.0,184,7729,4037607.0
2022-01-11,525.0,505.0,519.0,517.0,2.0,163,6316,3257915.0
2022-01-12,518.0,495.0,496.0,519.0,-23.0,214,15279,7722370.0
2022-01-13,515.0,486.1,513.0,496.0,17.0,148,3810,1905556.9
2022-01-16,543.0,502.8,537.0,513.0,24.0,356,24382,12936090.4
2022-01-17,547.7,519.4,547.0,537.0,10.0,298,16720,8819934.6
2022-01-18,572.3,531.3,569.0,547.0,22.0,394,16461,9150812.6
2022-01-19,585.0,542.0,578.0,569.0,9.0,319,11092,6169083.0
2022-01-20,635.8,557.0,635.8,578.0,57.8,673,39442,24227909.1
2022-01-23,652.0,615.0,635.0,635.8,-0.8,532,24095,15177206.3
2022-01-24,645.0,573.3,599.0,635.0,-36.0,357,25768,15329076.1
2022-01-25,610.9,570.0,589.9,599.0,-9.1,212,11375,6738175.1
2022-01-26,600.0,550.0,582.0,589.9,-7.9,198,10531,5955045.5
2022-01-27,598.0,566.5,598.0,582.0,16.0,209,6338,3688129.6
2022-01-30,617.0,595.2,609.1,598.0,11.1,410,15837,9621629.6
2022-01-31,627.0,588.0,607.0,609.1,-2.1,248,11061,6730080.2
2022-02-01,620.0,596.0,611.0,607.0,4.0,326,10548,6455138.0
2022-02-03,663.0,613.0,635.0,611.0,24.0,546,26223,16538315.7
2022-02-06,635.0,605.0,607.0,635.0,-28.0,234,13698,8464703.0
2022-02-07,637.6,594.9,612.0,607.0,5.0,215,7990,4872429.0
2022-02-08,636.0,589.0,592.1,612.0,-19.9,219,10431,6360125.5
2022-02-09,603.2,576.2,594.0,592.1,1.9,123,3959,2308706.0
2022-02-10,591.6,570.0,584.6,594.0,-9.4,138,7840,4533021.5
2022-02-13,573.0,546.0,547.0,584.6,-37.6,158,8366,4650119.5
2022-02-14,560.0,536.1,552.0,547.0,5.0,91,2717,1495213.9
2022-02-15,600.0,541.1,600.0,552.0,48.0,115,5415,3152916.2
2022-02-16,600.0,570.0,587.0,600.0,-13.0,136,7512,4375624.0
2022-02-17,642.6,576.3,625.0,587.0,38.0,541,32814,20446951.1
2022-02-20,687.5,590.0,679.0,625.0,54.0,681,49835,33049189.7
2022-02-21,728.0,670.0,710.0,679.0,31.0,560,27533,19303037.6
2022-02-22,780.3,696.0,758.0,710.0,48.0,540,24134,17807026.3
2022-02-23,825.0,742.9,825.0,758.0,67.0,623,39640,31135437.9
2022-02-24,824.0,763.0,821.0,825.0,-4.0,476,26523,21239913.2
2022-02-27,812.0,785.0,788.0,821.0,-33.0,480,26449,21081675.7
2022-02-28,800.0,709.2,709.2,788.0,-78.8,315,25503,18489681.8
2022-03-02,700.0,641.3,670.0,709.2,-39.2,295,17737,11708771.6
2022-03-06,693.0,659.0,674.0,670.0,4.0,152,9810,6636376.0
2022-03-07,683.4,657.0,675.0,674.0,1.0,169,11784,7862237.0
2022-03-09,665.0,640.0,655.0,675.0,-20.0,122,5760,3739729.2
2022-03-10,669.0,628.0,665.0,655.0,10.0,258,22639,14678567.4
2022-03-13,690.0,651.0,663.0,665.0,-2.0,274,22443,15023087.3
2022-03-14,678.2,662.0,670.0,663.0,7.0,86,5475,3668520.5
2022-03-15,674.0,650.0,664.5,670.0,-5.5,188,12222,8068669.5
2022-03-16,668.0,645.1,653.0,664.5,-11.5,144,7436,4845737.8
2022-03-20,666.0,637.0,647.0,653.0,-6.0,107,5075,3259096.5
2022-03-21,667.0,635.0,656.0,647.0,9.0,136,5260,3424891.0
2022-03-22,665.0,642.0,642.0,656.0,-14.0,112,4745,3093727.0
2022-03-23,649.0,632.0,635.0,642.0,-7.0,83,3484,2226582.0
2022-03-24,635.0,615.0,624.0,635.0,-11.0,177,11904,7410020.5
2022-03-27,624.0,588.1,599.0,624.0,-25.0,126,5763,3496773.9
2022-03-28,605.0,588.0,597.0,599.0,-2.0,115,6347,3765678.0
2022-03-29,610.0,580.1,591.9,597.0,-5.1,94,4222,2490495.8
2022-03-30,630.0,582.0,630.0,591.9,38.1,163,9281,5677163.9
2022-03-31,629.0,600.0,610.0,630.0,-20.0,132,8470,5180429.0
2022-04-03,610.0,594.0,603.0,610.0,-7.0,112,4357,2617092.4
2022-04-04,604.9,580.0,599.0,603.0,-4.0,81,2295,1364883.3
2022-04-05,599.0,570.0,575.0,599.0,-24.0,122,6453,3741896.0
2022-04-06,579.0,545.1,567.0,575.0,-8.0,108,4751,2665056.9
2022-04-07,594.0,556.0,,567.0,2.9,127,7998,4614296.0
2022-04-11,591.9,540.0,552.0,569.9,-17.9,130,6384,3551654.5
2022-04-12,550.0,520.5,525.0,552.0,-27.0,103,4800,2545622.6
2022-04-13,544.0,517.0,530.0,525.0,5.0,79,4768,2534292.0
2022-04-17,535.0,505.0,513.0,530.0,-17.0,75,3288,1704126.0
2022-04-18,510.0,474.0,499.8,513.0,-13.2,96,5165,2545738.5
2022-04-19,505.0,468.1,504.9,499.8,5.1,67,4383,2169094.2
2022-04-20,494.9,460.3,474.0,504.9,-30.9,78,4053,1929417.0
2022-04-21,482.9,447.0,469.9,474.0,-4.1,72,4278,1963810.5
2022-04-24,516.7,465.0,503.2,469.9,33.3,115,5851,2910667.0
2022-04-25,512.0,481.1,487.0,503.2,-16.2,76,4633,2318488.0
2022-04-26,496.7,477.4,482.0,487.0,-5.0,49,1936,937135.0
2022-04-27,500.0,471.0,478.0,482.0,-4.0,76,5461,2611821.7
2022-04-28,495.0,465.1,469.0,478.0,-9.0,127,5587,2705694.4
2022-05-02,462.0,450.0,457.0,469.0,-12.0,67,3548,1613805.0
2022-05-04,457.0,432.1,440.0,457.0,-17.0,81,4950,2177826.0
2022-05-05,435.0,415.0,420.0,440.0,-20.0,74,4425,1858400.0
2022-05-08,434.0,404.0,427.0,420.0,7.0,59,2717,1135646.5
2022-05-09,447.9,420.0,447.9,427.0,20.9,108,5877,2544120.2
2022-05-10,469.0,426.0,463.0,447.9,15.1,94,4795,2155829.0
2022-05-11,484.0,442.0,484.0,463.0,21.0,100,5826,2699471.0
2022-05-12,514.0,458.0,514.0,484.0,30.0,193,10111,4810267.7
