date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-05-27,1259.9,1211,1259.9,,48.9,4,40,49171
2022-05-30,1363.6,1257.7,1363.6,1259.9,103.7,8,70,90771
2022-05-31,1475.8,1363.6,1475.8,1363.6,112.2,8,50,71263.6
2022-06-01,1535.4,1505.3,1535.4,1475.8,59.6,4,30,45524
2022-06-02,1597.4,1566.1,1597.4,1535.4,62,2,20,31635
2022-06-03,1757.1,1603.3,1757.1,1597.4,159.7,6,60,101003
2022-06-06,1932.8,1792.2,1932.8,1757.1,175.7,13,130,247816
2022-06-07,2126,1971.4,2126,1932.8,193.2,19,190,400152
2022-06-08,2338.6,2168.5,2338.6,2126,212.6,9,90,206304
2022-06-09,2572.4,2385.3,2572.4,2338.6,233.8,16,160,406999
2022-06-10,2829.6,2572,2829.6,2572.4,257.2,155,1857,5223049.2
2022-06-13,3112.5,2700,2702,2829.6,-127.6,1819,20060,56364035
2022-06-14,2740,2560,2564,2702,-138,973,11051,28760198.2
2022-06-15,2565,2425,2508.2,2564,-55.8,501,5667,14031019.5
2022-06-16,2550,2460,2550,2508.2,41.8,274,3304,8256605.6
2022-06-17,2601,2526.3,2545,2550,-5,74,1720,4391421.2
2022-06-19,2550,2490.1,2502,2545,-43,163,2230,5591690
2022-06-20,2500,2405.1,2415,2502,-87,188,3197,7799295.6
2022-06-21,2510,2400,2499,2415,84,128,2325,5742481.5
2022-06-22,2476,2420.1,2465,2499,-34,92,1530,3742084.2
2022-06-23,2430,2380,2386,2465,-79,131,2552,6123800
2022-06-24,2478.6,2343,2428,2386,42,64,855,2055319
2022-06-26,2574,2445,2540,2428,112,153,2977,7511151.5
2022-06-27,2590,2470,2496.1,2540,-43.9,122,2608,6555563.9
2022-06-28,2499.9,2447,2485,2496.1,-11.1,76,1137,2802359
2022-06-30,2697,2525,2645,2525,120,131,3160,8366140
2022-07-01,2697,2598,2656,2645,11,67,1478,3922518.5
2022-07-03,2799,2601.9,2799,2656,143,145,2651,7148651
2022-07-04,2998.8,2742,2750,2799,-49,230,4905,14040845
2022-07-05,2906.7,2645,2710,2750,-40,135,2558,6988640
2022-07-06,2758.9,2663,2730,2710,20,130,1991,5411855.4
2022-07-07,2849.9,2702,2716,2730,-14,88,1485,4086079
2022-07-08,2770,2670.7,2675,2716,-41,54,945,2541877
2022-07-11,2625,2572,2595,2675,-80,106,1830,4762202
2022-07-12,2630,2560,2620,2595,25,77,1218,3177854.3
2022-07-13,2686.9,2620,2686.9,2620,66.9,71,1417,3787064.8
2022-07-14,2740,2664,2690,2686.9,3.1,85,1739,4691962
2022-07-15,2699,2637.1,2699,2690,9,33,500,1334843
2022-07-17,2798,2675,2748,2699,49,82,1120,3071339
2022-07-18,2835,2725,2833,2748,85,116,2226,6213659
2022-07-19,2950,2833,2939.1,2833,106.1,171,3657,10574039.5
2022-07-20,2973,2881,2940,2939.1,0.9,123,2685,7917331
2022-07-21,2995,2892,2945,2940,5,98,1695,4986324
2022-07-22,2960,2903.1,2935,2945,-10,49,1001,2927967.1
2022-07-24,3119.8,2931,3050,2935,115,182,3901,11716466.2
2022-07-25,3264,3050,3210,3050,160,130,3446,11032784.3
2022-07-26,3229,3130,3132,3210,-78,165,5092,16193097.7
2022-07-27,3264,3069.4,3230,3132,98,133,2983,9503319
2022-07-28,3348,3220,3260,3230,30,183,5604,18445185
2022-07-29,3400,3195,3300,3260,40,77,2612,8601654.5
2022-07-31,3395,3237.1,3385,3300,85,135,2786,9289854.2
2022-08-01,3406,3320,3356,3385,-29,110,2836,9514078
2022-08-02,3423.1,3288.9,3380,3356,24,146,3011,10091810
2022-08-03,3387,3247,3310,3380,-70,202,4539,15078315
2022-08-04,3358,3221,3343.9,3310,33.9,179,4319,14242297.5
2022-08-05,3456,3317,3449,3343.9,105.1,245,11197,37950268
2022-08-07,3786,3452,3764,3449,315,272,6313,22948747.7
2022-08-08,3819,3700,3799,3764,35,148,3768,14115585.6
2022-08-09,3760,3648.7,3710,3799,-89,160,5165,19079504
2022-08-10,3814.8,3627,3814.8,3710,104.8,180,4147,15382635.8
2022-08-11,3815,3701,3799,3814.8,-15.8,114,2995,11231313.8
2022-08-14,3770,3680,3680,3799,-119,122,2507,9285181
2022-08-15,3858,3660,3858,3680,178,146,3030,11355755
2022-08-16,3869,3732,3732,3858,-126,116,3241,12240225
2022-08-17,3750,3670,3706,3732,-26,62,1057,3925200.5
2022-08-18,3750,3701,3708,3706,2,74,1408,5246122.8
2022-08-22,3740,3645,3700,3700,,76,1455,5382297
2022-08-23,3825,3710,3800,3700,100,118,2565,9681379
2022-08-24,3800,3731,3737.3,3800,-62.7,61,1556,5843662.1
2022-08-25,3798,3730.5,3798,3737.3,60.7,93,3574,13429353
2022-08-26,3800,3725.5,3794,3798,-4,36,715,2693087
2022-08-28,3750,3680.4,3715,3794,-79,59,1322,4898391
2022-08-29,3670,3642.1,3656.3,3715,-58.7,43,1081,3955581
2022-08-30,3700,3606.1,3650,3656.3,-6.3,38,650,2363940
2022-08-31,3698,3600,3600,3650,-50,43,580,2090372
2022-09-01,3651,3510,3600,3600,,88,1942,6904433
2022-09-02,3600,3528.1,3600,3600,,18,230,824355
2022-09-04,3625,3580,3588.1,3600,-11.9,63,1097,3947491
2022-09-05,3658,3590,3595,3588.1,6.9,34,490,1774431
2022-09-06,3600,3541.1,3543,3595,-52,24,257,911835.3
2022-09-07,3520.1,3472.2,3507,3543,-36,59,933,3263501
2022-09-08,3615,3455.1,3615,3507,108,70,981,3438497.5
2022-09-11,3543,3500,3501,3615,-114,43,580,2039897
2022-09-12,3529,3412.1,3444,3501,-57,64,1460,5033321
2022-09-13,3550,3411.1,3441,3444,-3,45,690,2377275
2022-09-14,3550,3465,3485,3441,44,50,1022,3584120
2022-09-15,3468.8,3390,3400,3485,-85,47,1211,4147645.7
2022-09-16,3350,3283,3338,3400,-62,41,700,2319299
2022-09-18,3340,3262,3270,3338,-68,60,885,2910372
2022-09-20,3210,3150,3175,3270,-95,59,900,2873582
2022-09-21,3200,3114,3185,3175,10,36,490,1556858
2022-09-22,3200,3124.1,3130,3185,-55,33,385,1215228
2022-09-25,3110,3040.1,3040.1,3130,-89.9,52,647,1983515
2022-09-27,3100,3070,3080,3040.1,39.9,18,220,678982
2022-09-28,3110,3056,3110,3080,30,18,280,865741
2022-09-29,3172,3100,3150,3110,40,23,310,971881
2022-10-09,3460,3200,3460,3150,310,28,430,1440450
2022-10-10,3391,3300,3315,3460,-145,49,670,2238857
2022-10-11,3298,3232,3240,3315,-75,32,458,1489070.2
2022-10-12,3289,3210,3280,3240,40,33,350,1142080
2022-10-13,3320,3243,3296,3280,16,30,314,1033987
2022-10-16,3290,3231,3241,3296,-55,32,500,1622925
2022-10-17,3239,3200.7,3206,3241,-35,20,306,982640.6
2022-10-19,3215,3171,3185,3206,-21,29,402,1284155
2022-10-20,3197,3160,3166,3185,-19,16,175,554638
2022-10-23,3213,3150,3200,3166,34,22,322,1026840
2022-10-31,3299,3160,3250,3200,50,34,695,2249945
2022-11-01,3444,3260,3435,3250,185,51,1030,3440520
2022-11-02,3435,3299.7,3355,3435,-80,38,588,1987083.8
2022-11-03,3360,3300,3308.8,3355,-46.19999999999982,26,594,1977810
2022-11-06,3639.6,3374,3639.6,3308.8,330.7999999999997,146,4111,14784521
2022-11-07,3712.3,3570,3629,3639.6,-10.599999999999909,143,4268,15563935
2022-11-08,3651,3556.6,3598,3629,-31,58,1111,4002741
2022-11-09,3552,3295,3340,3598,-258,171,3569,12191345.5
2022-11-10,3390,3274,3380,3340,40,83,1810,6064559
2022-11-13,3445,3290.2,3400,3380,20,67,1677,5678072
2022-11-14,3440,3389,3421,3400,21,25,555,1888795
2022-11-15,3467,3377,3380,3421,-41,35,663,2259704
2022-11-16,3447,3335.1,3346,3380,-34,55,1181,3972935
2022-11-22,3439,3337.2,3362,3402,-40,18,510,1726882
2022-11-23,3380,3340,3346,3362,-16,24,430,1443202
2022-11-24,3385,3355,3365,3346,19,27,661,2220548.1
