date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-12-20,325.0,296.0,325.0,296.0,29.0,1804,18040,5857700.0
2020-12-21,340.0,293.0,293.0,325.0,-32.0,1103,11030,3252100.0
2020-12-22,280.0,264.0,264.0,293.0,-29.0,135,1350,363590.0
2020-12-23,259.0,238.0,238.0,264.0,-26.0,622,6220,1485360.0
2020-12-24,241.0,215.0,223.0,238.0,-15.0,1350,13540,2995720.0
2020-12-27,224.0,215.0,216.0,223.0,-7.0,702,9428,2063074.0
2020-12-28,220.0,208.0,212.0,216.0,-4.0,514,7002,1469730.0
2020-12-29,212.0,204.0,204.0,212.0,-8.0,469,5620,1153380.0
2020-12-30,212.0,200.0,212.0,204.0,8.0,430,4831,975433.0
2020-12-31,222.0,204.0,219.0,212.0,7.0,480,5800,1200620.0
2021-01-03,240.0,206.0,224.0,219.0,5.0,327,5328,1147238.0
2021-01-04,226.0,212.0,222.0,224.0,-2.0,269,3855,840160.0
2021-01-05,240.0,211.0,232.0,222.0,10.0,263,4390,987010.0
2021-01-06,244.0,220.0,230.0,232.0,-2.0,283,3710,831240.0
2021-01-07,230.0,222.0,230.0,230.0,,338,10950,2487190.0
2021-01-10,241.0,218.0,224.0,230.0,-6.0,254,3264,727390.0
2021-01-11,230.0,218.0,219.0,224.0,-5.0,181,2250,497770.0
2021-01-12,227.0,215.0,226.0,219.0,7.0,207,5165,1161270.0
2021-01-13,238.0,218.0,225.0,226.0,-1.0,244,11441,2589928.0
2021-01-17,236.0,221.0,222.0,225.0,-3.0,128,1770,398630.0
2021-01-18,224.0,220.0,221.0,222.0,-1.0,123,1390,308400.0
2021-01-19,222.0,216.0,216.0,221.0,-5.0,126,5464,1195033.0
2021-01-20,230.0,216.0,222.0,216.0,6.0,160,4284,943042.0
2021-01-21,244.0,220.0,244.0,222.0,22.0,170,2660,595024.0
2021-01-24,256.0,222.0,237.0,244.0,-7.0,229,10419,2438721.0
2021-01-25,248.0,228.0,240.0,237.0,3.0,172,5656,1323078.0
2021-01-26,247.0,225.0,234.0,240.0,-6.0,172,4067,974826.0
2021-01-27,238.0,226.0,234.0,234.0,,157,4791,1107324.0
2021-01-28,248.0,224.0,248.0,234.0,14.0,225,3055,703300.0
2021-01-31,248.0,224.0,229.0,248.0,-19.0,336,5640,1308321.0
2021-02-01,242.0,226.0,236.0,229.0,7.0,268,6595,1531850.0
2021-02-02,241.0,228.0,237.0,236.0,1.0,286,12840,3034968.0
2021-02-03,257.0,235.0,248.0,237.0,11.0,522,19524,4828562.0
2021-02-04,248.0,240.0,244.0,248.0,-4.0,272,12669,3090425.0
2021-02-07,252.0,232.0,249.0,244.0,5.0,362,13527,3327032.0
2021-02-08,249.0,237.0,242.0,249.0,-7.0,183,5610,1361250.0
2021-02-09,249.0,237.0,238.0,242.0,-4.0,160,4380,1051190.0
2021-02-10,242.0,235.0,242.0,238.0,4.0,162,4360,1033390.0
2021-02-11,248.0,232.0,242.0,242.0,,133,5256,1254510.0
2021-02-14,240.0,230.0,233.0,242.0,-9.0,81,1884,440695.0
2021-02-15,248.0,229.0,243.0,233.0,10.0,149,4219,996176.0
2021-02-16,240.0,235.0,235.0,243.0,-8.0,112,2740,647570.0
2021-02-17,236.0,224.0,234.0,235.0,-1.0,152,6910,1608460.0
2021-02-18,244.0,230.0,240.0,234.0,6.0,212,2670,628250.0
2021-02-21,244.0,236.0,237.0,240.0,-3.0,284,11214,2678033.0
2021-02-22,255.0,226.0,250.0,237.0,13.0,388,23943,5938670.0
2021-02-23,259.0,237.0,251.0,250.0,1.0,225,6655,1638945.0
2021-02-24,249.0,239.0,240.0,251.0,-11.0,142,4170,1024830.0
2021-02-25,245.0,232.0,240.0,240.0,,217,7849,1841207.0
2021-02-28,236.0,226.0,231.0,240.0,-9.0,230,6785,1563980.0
2021-03-01,238.0,223.0,232.0,231.0,1.0,221,3675,842945.0
2021-03-02,236.0,225.0,225.0,232.0,-7.0,156,4820,1102315.0
2021-03-03,228.0,220.0,222.0,225.0,-3.0,156,5385,1201785.0
2021-03-04,234.0,221.0,231.0,222.0,9.0,200,6992,1603538.0
2021-03-07,235.0,222.0,232.0,231.0,1.0,164,4565,1040130.0
