date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-06-12,150.0,150.0,150.0,,150.0,1,50,7500.0
2019-06-17,143.0,143.0,143.0,150.0,-7.0,1,50,7150.0
2019-06-18,136.0,136.0,136.0,143.0,-7.0,1,40,5440.0
2019-07-02,130.0,128.0,128.0,136.0,-8.0,2,100,12900.0
2019-07-03,122.0,122.0,122.0,128.0,-6.0,1,50,6100.0
2019-07-04,116.0,114.0,114.0,122.0,-8.0,3,150,17200.0
2019-07-21,109.0,103.0,103.0,114.0,-11.0,5,130,13690.0
2019-07-23,101.0,99.0,99.0,103.0,-4.0,2,20,2000.0
2019-07-24,95.0,94.0,94.0,99.0,-5.0,2,100,9450.0
2019-07-25,90.0,85.0,85.0,94.0,-9.0,38,3500,298087.0
2019-07-28,84.0,77.0,78.0,85.0,-7.0,23,821,63698.0
2019-07-29,78.0,72.0,78.0,78.0,,27,1900,142260.0
2019-07-30,77.0,73.0,73.0,78.0,-5.0,27,3410,252320.0
2019-07-31,72.0,68.0,70.0,73.0,-3.0,21,3041,209518.0
2019-08-01,72.0,70.0,72.0,70.0,2.0,10,600,42550.0
2019-08-04,73.0,71.0,71.0,72.0,-1.0,16,1120,80650.0
2019-08-05,71.0,68.0,68.0,71.0,-3.0,7,350,24450.0
2019-08-06,69.0,68.0,68.0,68.0,,7,520,35510.0
2019-08-07,69.0,68.0,68.0,68.0,,4,200,13650.0
2019-08-08,68.0,68.0,68.0,68.0,,12,600,40800.0
2019-08-11,68.0,65.0,67.0,68.0,-1.0,13,590,39440.0
2019-08-12,66.0,65.0,65.0,67.0,-2.0,13,860,56300.0
2019-08-13,69.0,65.0,67.0,65.0,2.0,19,750,50450.0
2019-08-14,68.0,66.0,66.0,67.0,-1.0,14,610,40910.0
2019-08-15,67.0,66.0,66.0,66.0,,4,570,38120.0
2019-08-18,65.0,64.0,65.0,66.0,-1.0,8,450,29100.0
2019-08-19,66.0,65.0,65.0,65.0,,5,250,16300.0
2019-08-20,65.0,64.0,64.0,65.0,-1.0,7,500,32050.0
