date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-05-18,4150.0,4150.0,4150.0,4234.0,-84.0,1,30,124500.0
2010-05-23,4068.0,4068.0,4068.0,4150.0,-82.0,1,30,122040.0
2010-06-13,4149.0,4149.0,4149.0,4068.0,81.0,1,20,82980.0
2010-08-17,4401.0,4231.0,4401.0,4149.0,252.0,3,30,129470.0
2010-08-29,4489.0,4489.0,4489.0,4401.0,88.0,1,10,44890.0
2010-09-21,4578.0,4578.0,4578.0,4489.0,89.0,1,30,137340.0
2010-10-05,4750.0,4750.0,4750.0,4669.0,81.0,1,10,47500.0
2010-10-11,4800.0,4800.0,4800.0,4750.0,50.0,1,40,192000.0
2010-10-12,4896.0,4896.0,4896.0,4800.0,96.0,1,20,97920.0
2010-10-13,4993.0,4993.0,4993.0,4896.0,97.0,1,20,99860.0
2010-12-07,5092.0,5092.0,5092.0,4993.0,99.0,1,10,50920.0
2010-12-08,5509.0,5193.0,5509.0,5092.0,417.0,5,50,269070.0
2010-12-15,5730.0,5618.0,5730.0,5509.0,221.0,2,30,169660.0
2010-12-22,5844.0,5844.0,5844.0,5730.0,114.0,1,10,58440.0
2010-12-27,5960.0,5960.0,5960.0,5844.0,116.0,1,10,59600.0
2011-01-05,6000.0,5880.0,5880.0,5960.0,-80.0,2,40,236400.0
2011-02-09,5800.0,5800.0,5800.0,5880.0,-80.0,1,10,58000.0
2011-02-10,5700.0,5700.0,5700.0,5800.0,-100.0,1,30,171000.0
2011-02-14,5800.0,5800.0,5800.0,5700.0,100.0,1,30,174000.0
2011-02-17,5916.0,5916.0,5916.0,5800.0,116.0,1,10,59160.0
2011-02-22,6000.0,6000.0,6000.0,5916.0,84.0,3,50,300000.0
2011-02-23,6120.0,6000.0,6000.0,6000.0,,2,30,181200.0
2011-03-01,6000.0,6000.0,6000.0,6000.0,,1,10,60000.0
2011-03-03,6000.0,6000.0,6000.0,6000.0,,1,20,120000.0
2011-03-10,6000.0,6000.0,6000.0,6000.0,,3,60,360000.0
2011-03-14,6000.0,6000.0,6000.0,6000.0,,1,10,60000.0
2011-03-15,6000.0,6000.0,6000.0,6000.0,,1,10,60000.0
2011-03-28,5880.0,5880.0,5880.0,6000.0,-120.0,2,120,705600.0
2011-03-29,5763.0,5763.0,5763.0,5880.0,-117.0,2,60,345780.0
2011-04-04,5648.0,5648.0,5648.0,5763.0,-115.0,1,100,564800.0
2011-04-05,5550.0,5550.0,5550.0,5648.0,-98.0,1,100,555000.0
2011-04-18,5500.0,5500.0,5500.0,5550.0,-50.0,1,10,55000.0
2011-04-19,5610.0,5610.0,5610.0,5500.0,110.0,1,30,168300.0
2011-05-16,5500.0,5500.0,5500.0,5610.0,-110.0,1,30,165000.0
2011-05-31,5390.0,5390.0,5390.0,5500.0,-110.0,1,60,323400.0
2011-06-05,5283.0,5283.0,5283.0,5390.0,-107.0,1,50,264150.0
2011-06-08,5178.0,5178.0,5178.0,5283.0,-105.0,1,50,258900.0
2011-06-09,5075.0,4974.0,4974.0,5178.0,-204.0,2,150,756200.0
2011-06-14,4875.0,4875.0,4875.0,4974.0,-99.0,2,20,97500.0
2011-06-15,5000.0,4972.0,5000.0,4875.0,125.0,3,40,199440.0
2011-06-16,5073.0,5073.0,5073.0,5000.0,73.0,1,20,101460.0
2011-06-20,5174.0,5174.0,5174.0,5073.0,101.0,2,40,206960.0
2011-07-03,5270.0,5270.0,5270.0,5174.0,96.0,1,30,158100.0
2011-07-04,5575.0,5075.0,5075.0,5270.0,-195.0,4,620,3386650.0
2011-07-05,4974.0,4974.0,4974.0,5075.0,-101.0,1,50,248700.0
2011-07-06,4876.0,4876.0,4876.0,4974.0,-98.0,3,70,341320.0
2011-07-07,4781.0,4781.0,4781.0,4876.0,-95.0,1,10,47810.0
2011-09-07,5072.0,4876.0,5072.0,4781.0,291.0,3,30,149210.0
2011-09-08,5276.0,5173.0,5276.0,5072.0,204.0,2,30,156220.0
2011-09-19,5171.0,5171.0,5171.0,5276.0,-105.0,1,30,155130.0
2011-11-13,5688.0,5274.0,5688.0,5171.0,517.0,5,50,274220.0
2011-11-20,5801.0,5801.0,5801.0,5688.0,113.0,1,10,58010.0
2011-11-22,5917.0,5917.0,5917.0,5801.0,116.0,1,10,59170.0
2011-12-13,6035.0,6035.0,6035.0,5917.0,118.0,1,10,60350.0
2011-12-27,6150.0,6100.0,6150.0,6035.0,115.0,2,20,122500.0
2011-12-29,6273.0,6273.0,6273.0,6150.0,123.0,1,10,62730.0
2012-01-03,6150.0,6150.0,6150.0,6273.0,-123.0,1,10,61500.0
2012-01-04,6273.0,6273.0,6273.0,6150.0,123.0,1,100,627300.0
2012-01-05,6148.0,6148.0,6148.0,6273.0,-125.0,1,10,61480.0
2012-01-12,6269.0,6148.0,6269.0,6148.0,121.0,3,30,185670.0
2012-02-08,6144.0,5669.0,5669.0,6269.0,-600.0,9,150,899850.0
2012-02-12,5712.0,5600.0,5712.0,5669.0,43.0,2,20,113120.0
2012-02-13,5600.0,5488.0,5488.0,5712.0,-224.0,2,60,334880.0
2012-02-14,5379.0,5379.0,5379.0,5488.0,-109.0,1,10,53790.0
2012-02-26,5916.0,5486.0,5916.0,5379.0,537.0,7,130,728930.0
2012-02-28,6120.0,6000.0,6119.0,5916.0,203.0,3,30,182390.0
2012-02-29,6119.0,6119.0,6119.0,6119.0,,2,20,122380.0
