date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-02-28,989.4,989.4,989.4,0,989.4,3,20,19788.5
2023-03-01,989.4,989.4,989.4,989.4,0,2,10,10090.5
2023-03-02,1029.2,989.4,1029.2,989.4,39.80000000000007,7,45,46113.5
2023-03-05,1070.6,1029.2,1070.6,1029.2,41.399999999999864,10,145,155134
2023-03-07,1092,1070.6,1092,1070.6,21.40000000000009,6,35,38050
2023-03-09,1113.8,1092,1113.8,1092,21.799999999999955,3,20,22218
2023-03-12,1158.7,1136,1158.7,1113.8,44.90000000000009,5,35,40465
2023-03-13,1205.4,1158.7,1205.4,1158.7,46.700000000000045,4,60,71253
2023-03-14,1325.9,1229.5,1325.9,1205.4,120.5,13,155,200648.5
2023-03-15,1458.4,1352.4,1458.4,1325.9,132.5,11,150,216147.5
2023-03-16,1604.2,1458.4,1604.2,1458.4,145.79999999999995,22,347,552607.4
2023-03-19,1764.6,1604.2,1764.6,1604.2,160.39999999999986,43,900,1582295
2023-03-20,1941,1799.8,1941,1764.6,176.4000000000001,42,621,1201176.5
2023-03-22,2135.1,1940.4,1945,1941,4,136,2879,5992275.5
2023-03-23,1911,1783,1800,1945,-145,62,1677,3080761.6
2023-03-26,1764,1620,1620,1800,-180,48,1050,1713766
2023-03-27,1587.6,1465.2,1587.6,1620,-32.40000000000009,42,512,775743.4
2023-03-28,1720.9,1570,1700,1587.6,112.40000000000009,28,315,518992
2023-03-29,1700,1600.4,1664,1700,-36,31,406,666962
2023-03-30,1688,1619,1620,1664,-44,18,350,572625
2023-04-02,1619.7,1588,1588,1620,-32,4,40,63837
2023-04-03,1590,1557,1590,1588,2,7,100,157534
2023-04-04,1620,1563,1563,1590,-27,10,124,199490
2023-04-05,1605,1550,1605,1563,42,14,570,897934.5
2023-04-06,1605,1600,1600,1605,-5,4,36,57466
2023-04-09,1600,1568,1568,1600,-32,3,30,47360
2023-04-10,1550,1515.1,1520,1568,-48,10,430,654025.5
2023-04-11,1642,1520,1633,1520,113,15,345,541545
2023-04-12,1715,1616,1680.7,1633,47.700000000000045,36,785,1317311.5
2023-04-13,1710,1632,1710,1680.7,29.299999999999955,10,91,151284
2023-04-16,1710,1641.5,1641.5,1710,-68.5,8,165,275063.5
2023-04-17,1641.5,1581.1,1641,1641.5,-0.5,12,128,206906.1
2023-04-18,1660,1587,1587,1641,-54,16,356,581128
2023-04-19,1625,1599,1625,1587,38,9,75,120277
2023-04-20,1625,1592.5,1592.5,1625,-32.5,3,25,40420
2023-04-23,1623.8,1561,1620,1592.5,27.5,8,70,111513
2023-04-24,1630.1,1611,1611,1620,-9,14,530,863521
2023-04-25,1605,1605,1605,1611,-6,2,20,31969
2023-04-26,1637,1605,1634,1605,29,5,59,95305
2023-04-27,1630,1615,1615,1634,-19,2,20,32450
2023-04-30,1620,1586,1620,1615,5,6,70,111740
2023-05-02,1615,1609,1615,1620,-5,10,153,246374.4
2023-05-03,1615,1590,1590,1615,-25,5,40,63576
2023-05-04,1610,1591.2,1610,1590,20,12,187,299557.8
2023-05-07,1642.2,1552.3,1642.2,1610,32.200000000000045,8,100,159239
2023-05-08,1655,1520,1655,1642.2,12.799999999999955,9,115,178359
2023-05-09,1621.9,1511.3,1511.3,1655,-143.70000000000005,25,552,848228.6
2023-05-10,1541.5,1494,1494,1511.3,-17.299999999999955,8,170,257077
2023-05-11,1465,1408,1464.8,1494,-29.200000000000045,14,145,208935
2023-05-14,1464,1430,1430,1464.8,-34.799999999999955,5,55,79333
2023-05-15,1420,1410,1410,1430,-20,4,40,56560
2023-05-16,1410,1400,1400,1410,-10,6,55,77050
2023-05-17,1377,1321,1325,1400,-75,19,341,458336
2023-05-18,1350,1300,1300,1325,-25,12,370,482240.5
2023-05-21,1332,1326,1332,1300,32,4,35,46510
2023-05-22,1332,1300,1300,1332,-32,7,119,154878
2023-05-23,1340.1,1320,1320,1300,20,5,394,527371.9
2023-05-24,1366,1320,1339,1320,19,15,725,970473
2023-05-28,1362.8,1335.6,1340,1339,1,6,60,80853
2023-05-30,1340,1340,1340,1340,0,2,10,13132
2023-05-31,1313.2,1228.1,1228.1,1340,-111.90000000000009,19,388,485673.5
2023-06-01,1252,1205,1230,1228.1,1.900000000000091,7,105,128816
2023-06-04,1275,1250,1275,1230,45,3,30,37750
2023-06-05,1345,1250,1251,1275,-24,10,130,169613
2023-06-06,1251,1230,1230,1251,-21,2,20,24580
2023-06-07,1353,1254.6,1353,1230,123,17,245,325327
2023-06-08,1406.9,1379,1398,1353,45,11,134,187091.1
2023-06-11,1430,1364,1430,1398,32,10,115,160840.5
2023-06-12,1405.1,1380,1380,1430,-50,4,50,69737
2023-06-13,1435,1378.9,1378.9,1380,-1.099999999999909,11,125,174653.5
2023-06-14,1452.4,1405,1430,1378.9,51.09999999999991,17,287,408678.8
2023-06-15,1435,1430,1430,1430,0,4,50,71550
2023-06-18,1513,1455.3,1509.6,1430,79.59999999999991,20,315,469764.5
2023-06-19,1490,1358.7,1358.7,1509.6,-150.89999999999986,134,1325,1807264
2023-06-20,1332,1222.9,1222.9,1358.7,-135.79999999999995,185,1840,2259548
2023-06-21,1245,1105,1244,1222.9,21.09999999999991,1771,17910,21075216.1
2023-06-22,1265,1196,1259,1244,15,572,5967,7355462.5
2023-06-25,1258.6,1186,1240,1259,-19,552,7247,8968274
2023-06-26,1305,1216,1290,1240,50,460,7318,9295218.1
2023-06-27,1419,1291.2,1419,1290,129,319,4592,6357468
2023-06-28,1485,1348,1375,1419,-44,479,9656,13583445.7
2023-07-02,1375,1310.1,1315.3,1375,-59.700000000000045,339,4340,5811074.3
2023-07-03,1325,1280,1300,1315.3,-15.299999999999955,249,2997,3896646
2023-07-04,1326,1276,1300,1300,0,211,2140,2776359
2023-07-05,1310,1291.3,1300,1300,0,228,2500,3248352.5
2023-07-06,1320,1293,1296,1300,-4,284,3289,4279391
2023-07-09,1326,1275,1310,1296,14,238,2520,3280174
2023-07-10,1341,1300,1316.1,1310,6.099999999999909,219,3652,4830250
2023-07-11,1335,1292,1312,1316.1,-4.099999999999909,197,2050,2689881.5
2023-07-12,1321,1293,1320,1312,8,158,1660,2177427
2023-07-13,1400.7,1302,1339,1320,19,178,2782,3749807
2023-07-16,1365,1313,1318,1339,-21,111,1550,2055592
2023-07-17,1340,1292,1330,1318,12,124,1325,1754525.2
2023-07-18,1375,1323,1355,1330,25,192,2909,3936724.6
2023-07-19,1355,1327.9,1341,1355,-14,128,1740,2339748
2023-07-20,1360,1314.3,1331,1341,-10,115,1945,2596832
2023-07-23,1390,1314,1379,1331,48,262,3806,5189510
2023-07-24,1379,1341,1343.1,1379,-35.90000000000009,94,1164,1579175
2023-07-25,1359,1318,1343,1343.1,-0.09999999999990905,126,2027,2703459.5
2023-07-26,1369,1317.2,1346,1343,3,91,2075,2775281
2023-07-27,1371.9,1313,1316.7,1346,-29.299999999999955,95,1540,2038461
2023-07-30,1343,1280,1304,1316.7,-12.700000000000045,102,1882,2466443.4
2023-07-31,1310,1279,1292,1304,-12,92,955,1231672
2023-08-01,1300,1255,1260,1292,-32,86,955,1215905
2023-08-02,1260,1241.3,1250,1260,-10,108,1425,1777442.5
2023-08-03,1275,1225.6,1234,1250,-16,79,785,974974.5
2023-08-06,1220,1194,1196,1234,-38,94,1390,1675712
2023-08-07,1209,1176.2,1189,1196,-7,120,1210,1439541.5
2023-08-08,1190,1167.1,1172.3,1189,-16.700000000000045,93,930,1093995
2023-08-09,1217,1145,1213,1172.3,40.700000000000045,114,1353,1568694.5
2023-08-10,1249.5,1167,1185,1213,-28,64,680,809266
2023-08-13,1166,1145,1156,1185,-29,100,1050,1214156
2023-08-14,1172,1133.5,1159,1156,3,92,1245,1436091
2023-08-15,1175,1150,1164,1159,5,92,1230,1423960
2023-08-16,1165,1155,1165,1164,1,68,820,951081
2023-08-17,1269.9,1160,1220,1165,55,111,1790,2185229.6
2023-08-20,1244.4,1181,1228,1220,8,114,1580,1910207.6
2023-08-21,1215,1185,1185,1228,-43,55,550,657638.5
2023-08-22,1203.6,1165,1170,1185,-15,43,475,558878
2023-08-23,1190,1150,1175,1170,5,58,595,697978
2023-08-24,1180,1105,1180,1175,5,94,3697,4208803.6
2023-08-27,1156.4,1097.6,1135,1180,-45,79,1548,1724274.3
2023-08-28,1135,1094,1110,1135,-25,59,860,950790
2023-08-29,1110,1091.1,1110,1110,0,65,650,714208
2023-08-30,1106.7,1080,1105,1110,-5,79,1217,1327675
2023-09-03,1084.1,1050.1,1069,1105,-36,63,660,703885
2023-09-04,1070,1042,1070,1069,1,68,870,916943
2023-09-05,1052.6,1032,1040,1070,-30,42,475,495554
2023-09-07,1040,1021,1023.1,1040,-16.899999999999977,46,610,625745
2023-09-10,1023,999,1008,1023.1,-15.100000000000023,64,936,941632
2023-09-11,1045,996.1,1045,1008,37,73,780,793068
2023-09-12,1030,1015,1016,1045,-29,37,410,417985
2023-09-13,1061,1010,1055,1016,39,54,591,611137.5
2023-09-17,1106.7,1035,1098,1055,43,109,1876,2047815
2023-09-18,1207,1096,1142,1098,44,94,1454,1650361
2023-09-19,1200,1116,1123,1142,-19,54,565,643171
2023-09-21,1168,1123,1142,1123,19,99,1344,1533293
2023-09-24,1177,1120,1150,1142,8,77,1000,1146814
2023-09-25,1169.9,1125.2,1140,1150,-10,63,890,1010115
2023-09-26,1162,1121.1,1160,1140,20,88,1298,1488275
2023-09-27,1138,1121,1135,1160,-25,47,555,628469
2023-10-01,1135,1117,1128.5,1135,-6.5,79,1002,1129276
2023-10-02,1140,1111,1130,1128.5,1.5,72,835,939200.5
2023-10-03,1128,1070,1115,1130,-15,103,6293,6887789
2023-10-04,1127,1095,1117,1115,2,77,2970,3265584
2023-10-05,1106,1088,1099,1117,-18,49,997,1094048
2023-10-08,1080.9,1065,1075,1099,-24,62,894,958311.1
2023-10-09,1070,1061,1070,1075,-5,56,628,668028
2023-10-10,1075,1055.1,1058,1070,-12,48,530,561368.4
2023-10-11,1079,1053.1,1073,1058,15,51,525,556589
2023-10-12,1071,1021,1034,1073,-39,64,1100,1158868
2023-10-16,1030,1016,1030,1034,-4,60,700,716022
2023-10-17,1050,1023,1030,1030,0,33,500,517586
2023-10-18,1081.2,1025,1081.2,1030,51.200000000000045,24,280,293750
2023-10-19,1081.2,1061,1062,1081.2,-19.200000000000045,14,235,249969
2023-10-29,1070,1031.2,1050,1062,-12,37,505,525648
2023-10-30,1070,1032,1045,1050,-5,21,212,221439
2023-10-31,1052,1030,1042.8,1045,-2.2000000000000455,36,519,541400
2023-11-01,1060,1033,1041,1042.8,-1.7999999999999545,32,665,698366.5
2023-11-02,1052,1032.1,1035,1041,-6,53,600,621596.8
2023-11-05,1025,1005,1012.1,1035,-22.899999999999977,31,360,365724
2023-11-06,1035,1012,1022,1012.1,9.899999999999977,32,405,414590
2023-11-07,1040,1023.1,1030,1022,8,24,260,268453
2023-11-08,1050,1011,1030,1030,0,26,523,535512.4
2023-11-09,1030,1013.1,1028,1030,-2,32,420,428271
2023-11-20,1020,996,1010,1028,-18,34,750,751892
2023-11-21,1003,941,950.1,1010,-59.89999999999998,35,1316,1252021.2
2023-11-22,969.1,932,962,950.1,11.899999999999977,17,930,894326
2023-11-23,991,960,980,962,18,26,516,503146.2
2023-11-26,999.6,947,994,980,14,59,1010,986413
2023-11-27,1000,962.4,980,994,-14,25,265,258640
2023-11-28,990,960,968,980,-12,30,333,323383
2023-11-29,975,951,955,968,-13,34,623,603249.9
2023-11-30,970,941,945.6,955,-9.399999999999977,31,700,663805
2023-12-03,945,930.1,936.5,945.6,-9.100000000000023,25,265,248002.5
2023-12-04,973,922,962,936.5,25.5,30,370,349981.5
2023-12-05,964.9,944,950,962,-12,23,496,471771
2023-12-06,965,934,952.2,950,2.2000000000000455,27,400,380243
2023-12-07,977.1,940,970,952.2,17.799999999999955,23,244,233197.4
2023-12-10,989.4,989.4,989.4,970,19.399999999999977,1,10,9894
2023-12-11,1049,980,998,989.4,8.600000000000023,81,1229,1236059
2023-12-12,1020,974,1005,998,7,64,1520,1510673
2023-12-13,1072,984.9,1010,1005,5,63,1313,1344924
2023-12-14,1044.9,1000,1016,1010,6,57,670,687403
2023-12-17,1064,996,1064,1016,48,88,2575,2642867
2023-12-18,1150,1032,1150,1064,86,106,3196,3558720.9
2023-12-19,1219,1110,1200,1150,50,75,1785,2063695.5
2023-12-20,1240,1138,1173.1,1200,-26.90000000000009,102,3481,4149694.7
2023-12-21,1150,1105,1139.9,1173.1,-33.19999999999982,89,1699,1923609
2023-12-24,1179.9,1116.6,1116.6,1139.9,-23.300000000000182,81,3792,4307711
2023-12-27,1116.6,1065,1080,1116.6,-36.59999999999991,84,2064,2232167.8
2023-12-28,1101,1050,1100,1080,20,81,4110,4442960.5
2024-01-01,1121,1069.1,1071,1100,-29,58,1190,1303646.5
2024-01-02,1114,1060,1114,1071,43,67,1741,1862134.5
2024-01-03,1145,1080,1133.5,1114,19.5,73,1277,1413737.8
2024-01-04,1150,1080.4,1121,1133.5,-12.5,90,3343,3705174
2024-01-07,1110.1,1075,1094,1121,-27,73,2586,2823663.1
2024-01-08,1099.5,1076,1099,1094,5,57,1282,1396372
2024-01-09,1120.9,1070,1090,1099,-9,81,1502,1638594.3
2024-01-10,1156,1080.1,1098.5,1090,8.5,96,6984,7759455.5
2024-01-11,1142,1066,1073,1098.5,-25.5,65,1654,1787727.5
2024-01-14,1167,1073,1117,1073,44,56,1245,1382776
2024-01-16,1208,1114.4,1148,1117,31,128,3047,3475073
2024-01-17,1220,1148,1200,1148,52,255,8757,10431726.2
2024-01-18,1180,1146.1,1170,1200,-30,102,2029,2359528.5
2024-01-21,1205,1150.1,1178,1170,8,132,3700,4386048.5
2024-01-22,1198,1088.2,1139.9,1178,-38.09999999999991,69,1355,1531747.5
2024-01-23,1162,1095.4,1144,1139.9,4.099999999999909,41,410,459475.5
2024-01-24,1234,1111,1139.9,1144,-4.099999999999909,65,745,841426
2024-01-25,1208,1094,1116,1139.9,-23.90000000000009,37,488,545080
2024-01-28,1120,1084,1115,1116,-1,61,2451,2704466
2024-01-29,1137,1100,1103.1,1115,-11.900000000000091,62,1115,1251758
2024-01-30,1147.6,1103.1,1120,1103.1,16.90000000000009,99,4774,5418026
2024-01-31,1132,1097.6,1101,1120,-19,58,1685,1872276.1
2024-02-01,1123,1094,1094.1,1101,-6.900000000000091,63,2690,2985384
2024-02-04,1203.5,1115.9,1203.5,1094.1,109.40000000000009,212,11014,13220647.4
2024-02-05,1302,1227.5,1230.1,1203.5,26.59999999999991,250,7851,9806853
2024-02-06,1249,1206,1228,1230.1,-2.099999999999909,101,1712,2093929.5
2024-02-07,1235.2,1206,1230,1228,2,88,2485,3041093
2024-02-08,1255,1220,1253,1230,23,131,3650,4521072.2
2024-02-11,1278,1255,1267.1,1253,14.099999999999909,123,6475,8186958.3
2024-02-12,1290.5,1250.1,1287,1267.1,19.90000000000009,79,2240,2872503
2024-02-13,1300,1251,1251,1287,-36,95,3900,4951216
2024-02-14,1279,1250,1261,1251,10,68,1052,1331757
2024-02-15,1297,1261,1264,1261,3,100,2469,3162682.9
2024-02-18,1260,1242,1247,1264,-17,78,955,1196210.5
2024-02-20,1254,1213,1221,1247,-26,94,2337,2875447.2
2024-02-21,1240,1206,1233,1221,12,47,607,742307
2024-02-22,1274.9,1217,1232,1233,-1,91,1480,1854467
2024-02-25,1240,1217.1,1218,1232,-14,50,805,984615
2024-02-26,1228.4,1207,1217,1218,-1,49,1715,2082595
2024-02-27,1290,1207.3,1230,1217,13,41,1486,1885665.9
2024-02-28,1254,1212,1222.3,1230,-7.7000000000000455,58,1330,1646386
2024-02-29,1235.1,1210,1210.2,1222.3,-12.099999999999909,46,880,1070019
2024-03-03,1210,1190,1196,1210.2,-14.200000000000045,43,1665,1994665
2024-03-05,1260,1202.1,1222,1196,26,91,3091,3805089.8
2024-03-06,1260,1220,1260,1222,38,73,1855,2313392
2024-03-07,1323,1240,1315,1260,55,149,3376,4409583
2024-03-10,1397,1321,1386.8,1315,71.79999999999995,138,3426,4695442.3
2024-03-12,1473,1402.3,1454,1386.8,67.20000000000005,202,5737,8216216
2024-03-13,1484,1432,1480,1454,26,115,2603,3816269.5
2024-03-14,1490,1421,1445,1480,-35,116,5472,7912777.5
2024-03-17,1480,1435,1445,1445,0,109,3436,5014824.5
2024-03-18,1479.9,1421,1448,1445,3,73,3427,4987162.7
2024-03-19,1579,1455,1579,1448,131,277,7502,11472159.1
2024-03-20,1690,1580,1652.4,1579,73.40000000000009,204,6688,10949134
2024-03-21,1620,1557.6,1600,1652.4,-52.40000000000009,119,3063,4887010.7
2024-03-25,1618.9,1480.5,1500,1600,-100,105,4230,6537877.5
2024-03-26,1549,1490,1540,1500,40,94,4001,6034319.3
