date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-01-13,224.0,224.0,224.0,224.0,,1193,51875,11620000.0
2019-01-14,235.0,235.0,235.0,224.0,11.0,2,40,9400.0
2019-01-15,258.0,235.0,258.0,235.0,23.0,87,3685,949980.0
2019-01-16,283.0,258.0,283.0,258.0,25.0,87,3690,1044030.0
2019-01-17,311.0,283.0,311.0,283.0,28.0,1250,57490,17879130.0
2019-01-20,342.0,280.0,292.0,311.0,-19.0,13485,771098,246529674.0
2019-01-21,292.0,263.0,263.0,292.0,-29.0,7801,403800,109118418.0
2019-01-22,266.0,237.0,260.0,263.0,-3.0,3691,217311,54768950.0
2019-01-23,286.0,255.0,278.0,260.0,18.0,1996,138867,37722402.0
2019-01-24,285.0,270.0,274.0,278.0,-4.0,1904,122167,33758245.0
2019-01-27,279.0,261.0,267.0,274.0,-7.0,1943,121117,32463556.0
2019-01-28,270.0,266.0,267.0,267.0,,1223,64493,17282256.0
2019-01-29,267.0,258.0,260.0,267.0,-7.0,1287,95372,24964966.0
2019-01-30,260.0,256.0,256.0,260.0,-4.0,1091,53226,13679435.0
2019-01-31,260.0,253.0,258.0,256.0,2.0,1124,57691,14843925.0
2019-02-03,258.0,251.0,253.0,258.0,-5.0,1377,99156,25089666.0
2019-02-04,253.0,245.0,246.0,253.0,-7.0,1379,95240,23533289.0
2019-02-05,248.0,240.0,243.0,246.0,-3.0,1049,104687,25502668.0
2019-02-06,243.0,237.0,238.0,243.0,-5.0,1277,67848,16240286.0
2019-02-07,238.0,233.0,238.0,238.0,,891,59830,14111779.0
2019-02-10,238.0,229.0,231.0,238.0,-7.0,1026,59960,13938900.0
2019-02-11,237.0,227.0,232.0,231.0,1.0,917,61013,14065694.0
2019-02-12,232.0,230.0,231.0,232.0,-1.0,732,38083,8790743.0
2019-02-13,232.0,229.0,230.0,231.0,-1.0,728,41724,9613300.0
2019-02-14,230.0,224.0,228.0,230.0,-2.0,1103,69628,15711303.0
2019-02-17,231.0,225.0,226.0,228.0,-2.0,847,45386,10294478.0
2019-02-18,226.0,220.0,221.0,226.0,-5.0,715,51862,11492149.0
2019-02-19,232.0,219.0,232.0,221.0,11.0,782,57539,12793830.0
2019-02-20,233.0,223.0,224.0,232.0,-8.0,606,41490,9350595.0
2019-02-21,228.0,222.0,225.0,224.0,1.0,529,32296,7227554.0
2019-02-24,226.0,220.0,222.0,225.0,-3.0,694,46222,10237995.0
2019-02-25,226.0,220.0,224.0,222.0,2.0,419,35508,7886542.0
2019-02-26,225.0,221.0,223.0,224.0,-1.0,434,34122,7597841.0
2019-02-27,228.0,223.0,224.0,223.0,1.0,411,26480,5959027.0
2019-03-03,225.0,222.0,222.0,224.0,-2.0,504,40964,9164105.0
2019-03-05,225.0,221.0,224.0,222.0,2.0,502,34553,7707213.0
2019-03-06,226.0,222.0,226.0,224.0,2.0,499,25338,5677765.0
2019-03-07,231.0,225.0,230.0,226.0,4.0,639,47328,10764538.0
2019-03-10,234.0,226.0,230.0,230.0,,267,42655,9731194.0
2019-03-11,238.0,228.0,235.0,230.0,5.0,716,73683,17159955.0
2019-03-12,246.0,234.0,244.0,235.0,9.0,569,97693,23442152.0
2019-03-13,248.0,237.0,240.0,244.0,-4.0,667,76430,18493922.0
