date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-13,278.9,253.6,278.9,0,278.9,214,4197,1168733.1
2023-08-14,306.7,284.4,306.7,278.9,27.80000000000001,432,4320,1324395
2023-08-15,337.3,288.1,312,306.7,5.300000000000011,4124,60856,19771507.8
2023-08-16,318,288,308,312,-4,1439,21018,6342144.6
2023-08-17,331,298.2,327,308,19,936,11300,3616229
2023-08-20,330,297.5,297.5,327,-29.5,564,11545,3557053
2023-08-21,300.5,291.5,295,297.5,-2.5,284,5930,1748909
2023-08-22,311.9,290,306,295,11,354,5120,1544403
2023-08-23,312.1,301.2,307.5,306,1.5,321,6450,1964144
2023-08-24,309,293.5,299,307.5,-8.5,218,7345,2210542.5
2023-08-27,293.1,281.1,281.7,299,-17.30000000000001,238,3930,1122856
2023-08-28,285.2,269.1,276.5,281.7,-5.199999999999989,191,5020,1402159.8
2023-08-29,287,271,273,276.5,-3.5,136,3630,991601
2023-08-30,281,268,277.1,273,4.100000000000023,168,2490,690265
2023-09-03,277.4,262.1,269,277.1,-8.100000000000023,196,4350,1160997
2023-09-04,295,264,294,269,25,252,8672,2448144.4
2023-09-05,294,281.5,292.3,294,-1.6999999999999886,169,4994,1432248.4
2023-09-07,313,275.6,297,292.3,4.699999999999989,187,4230,1234714
2023-09-10,306.9,285.4,289,297,-8,174,3660,1072090
2023-09-11,306.5,283.3,296,289,7,184,6670,1957496
2023-09-12,316,287.4,316,296,20,275,7254,2198718.6
2023-09-13,321.9,302,316.2,316,0.19999999999998863,219,4555,1415219
2023-09-17,320,292.4,314,316.2,-2.1999999999999886,241,7578,2310367.9
2023-09-18,315,298,314,314,0,167,4883,1502179
2023-09-19,345.4,304.6,330,314,16,295,9589,3131862
2023-09-21,348,330,334,330,4,379,9341,3158110
2023-09-24,349.8,322.1,349.8,334,15.800000000000011,322,9301,3162775.6
2023-09-25,374.3,342,367,349.8,17.19999999999999,290,6800,2495129
2023-09-26,375.3,354.9,373,367,6,373,13860,5018522.5
2023-09-27,365.6,346.2,353.9,373,-19.100000000000023,215,10380,3657909.9
2023-10-01,346.9,321.5,329,353.9,-24.899999999999977,279,13660,4559037
2023-10-02,344.7,314.3,344.7,329,15.699999999999989,260,10815,3542260.6
2023-10-03,358,331.3,353,344.7,8.300000000000011,194,10872,3754600.1
2023-10-04,362,340,350,353,-3,290,16381,5753902.9
2023-10-05,362,348,357,350,7,240,8255,2932017.3
2023-10-08,350,333.3,347.3,357,-9.699999999999989,179,7860,2668605
2023-10-09,361.2,335,340,347.3,-7.300000000000011,216,8770,3006315.1
2023-10-10,346.8,333.2,340,340,0,123,3170,1066397
2023-10-11,346,323.2,346,340,6,139,3755,1266680
2023-10-12,339.1,322,322.1,346,-23.899999999999977,159,10955,3606928.4
2023-10-16,322,305.1,313,322.1,-9.100000000000023,148,2872,903945
2023-10-17,344,310,318,313,5,126,3751,1192313
2023-10-18,326.1,313,326.1,318,8.100000000000023,106,5881,1867576.1
2023-10-19,325.9,308,325.3,326.1,-0.8000000000000114,32,840,270765
2023-10-29,319,303.3,313,325.3,-12.300000000000011,73,1610,495127
2023-10-30,312.6,304.1,312.6,313,-0.39999999999997726,62,1870,577450
2023-10-31,315.2,308,314,312.6,1.3999999999999773,88,1980,619408
2023-11-01,315,294,312.9,314,-1.1000000000000227,117,12083,3644986.4
2023-11-02,309.8,297.8,303,312.9,-9.899999999999977,100,4353,1310861
2023-11-05,308.9,285.6,305,303,2,80,1000,296580
2023-11-06,309.9,298.9,309.9,305,4.899999999999977,87,2795,852653.5
2023-11-07,312,298.2,309.9,309.9,0,47,1350,414334
2023-11-08,312.1,300,311.9,309.9,2,71,2753,838356.6
2023-11-09,317.9,295,306,311.9,-5.899999999999977,39,959,287032.5
2023-11-20,312,296.2,306,306,0,84,2820,844995
2023-11-21,300.9,288,300.4,306,-5.600000000000023,80,2270,665441
2023-11-22,306,295,306,300.4,5.600000000000023,71,2190,659752
2023-11-23,311.9,295.2,308,306,2,85,2747,834037.9
2023-11-26,320.3,303.1,316,308,8,159,7963,2520912
2023-11-27,347.6,313,347.6,316,31.600000000000023,229,25421,8578989.3
2023-11-28,364,347,357,347.6,9.399999999999977,185,6500,2298095
2023-11-29,350,337.6,341,357,-16,90,4060,1388721
2023-11-30,340,328,332,341,-9,110,6262,2067179.2
2023-12-03,338.3,319,337,332,5,103,4466,1460082.2
2023-12-04,355,322.2,331,337,-6,79,2130,708824
2023-12-05,339.6,325.4,331,331,0,101,5480,1815385
2023-12-06,357.5,327.1,333,331,2,66,1450,485684
