date,high,low,close,previous,diff,numtrans,tradedshares,volume
2018-03-14,,,,,,14,58,29348.0
2018-03-18,506.0,506.0,506.0,,506.0,1,10,5060.0
2018-03-19,,,,506.0,,2,10,5160.0
2018-04-05,516.0,516.0,516.0,506.0,10.0,1,10,5160.0
2018-04-08,536.0,526.0,536.0,516.0,20.0,2,20,10620.0
2018-04-10,567.0,546.0,567.0,536.0,31.0,3,30,16690.0
2018-04-11,589.0,578.0,589.0,567.0,22.0,2,20,11670.0
2018-04-12,612.0,600.0,612.0,589.0,23.0,2,20,12120.0
2018-04-15,636.0,624.0,636.0,612.0,24.0,2,20,12600.0
2018-04-17,667.0,667.0,667.0,636.0,31.0,1,10,6670.0
2018-04-19,,,,667.0,,2,10,6800.0
2018-04-25,680.0,680.0,680.0,667.0,13.0,1,10,6800.0
2018-04-26,706.0,693.0,706.0,680.0,26.0,4,30,20920.0
2018-04-29,741.0,741.0,741.0,706.0,35.0,1,10,7410.0
2018-05-02,755.0,755.0,755.0,741.0,14.0,1,10,7550.0
2018-05-06,785.0,770.0,785.0,755.0,30.0,2,20,15550.0
2018-05-07,848.0,800.0,848.0,785.0,63.0,4,40,32960.0
2018-05-08,864.0,864.0,864.0,848.0,16.0,1,10,8640.0
2018-05-09,,,,864.0,,2,10,8810.0
2018-05-14,925.0,907.0,925.0,864.0,61.0,2,20,18320.0
2018-05-15,980.0,943.0,980.0,925.0,55.0,3,30,28840.0
2018-05-21,1038.0,999.0,1038.0,980.0,58.0,3,30,30550.0
2018-05-22,1089.0,1089.0,1089.0,1038.0,51.0,1,10,10890.0
2018-05-23,1110.0,1110.0,1110.0,1089.0,21.0,1,10,11100.0
2018-05-24,1132.0,1132.0,1132.0,1110.0,22.0,1,10,11320.0
2018-05-28,1154.0,1154.0,1154.0,1132.0,22.0,1,10,11540.0
2018-05-29,1259.0,1211.0,1259.0,1154.0,105.0,3,30,37050.0
2018-05-30,1309.0,1284.0,1309.0,1259.0,50.0,2,20,25930.0
2018-06-03,1335.0,1335.0,1335.0,1309.0,26.0,1,10,13350.0
