date,high,low,close,previous,diff,numtrans,tradedshares,volume
2015-11-09,312.0,312.0,312.0,,312.0,1,10,3120.0
2015-11-10,343.0,318.0,343.0,312.0,31.0,14,168,56974.0
2015-11-29,376.0,349.0,376.0,343.0,33.0,5,50,18110.0
2015-11-30,383.0,383.0,383.0,376.0,7.0,1,10,3830.0
2015-12-01,404.0,390.0,404.0,383.0,21.0,3,30,11910.0
2015-12-02,420.0,412.0,420.0,404.0,16.0,2,20,8320.0
2015-12-03,436.0,428.0,436.0,420.0,16.0,2,28,12128.0
2015-12-07,479.0,444.0,479.0,436.0,43.0,5,76,35397.0
2015-12-08,526.0,502.0,526.0,479.0,47.0,29,319,167374.0
2015-12-09,578.0,536.0,578.0,526.0,52.0,13,130,74070.0
2015-12-10,635.0,589.0,635.0,578.0,57.0,5,92,56723.0
2015-12-13,698.0,647.0,698.0,635.0,63.0,5,50,33610.0
2015-12-14,767.0,711.0,767.0,698.0,69.0,6,85,62913.0
2015-12-15,843.0,782.0,843.0,767.0,76.0,38,648,544734.0
2015-12-16,927.0,859.0,927.0,843.0,84.0,296,4082,3758702.0
2015-12-17,1019.0,945.0,1019.0,927.0,92.0,730,11089,11244886.0
2015-12-20,1044.0,967.0,980.0,1019.0,-39.0,1156,16297,16358504.0
2015-12-21,985.0,900.0,951.0,980.0,-29.0,620,7937,7457761.0
2015-12-22,1020.0,953.0,1020.0,951.0,69.0,511,6941,6883939.0
2015-12-23,1075.0,1000.0,1050.0,1020.0,30.0,571,9042,9389896.0
2015-12-24,1155.0,1029.0,1155.0,1050.0,105.0,473,7798,8682538.0
2015-12-27,1178.0,1110.0,1161.0,1155.0,6.0,315,8188,9417372.0
2015-12-28,1175.0,1141.0,1153.0,1161.0,-8.0,363,7129,8220929.0
2015-12-29,1170.0,1108.0,1170.0,1153.0,17.0,469,7982,9238237.0
2015-12-31,1203.0,1084.0,1200.0,1170.0,30.0,298,5459,6434808.0
2016-01-03,1225.0,1180.0,1225.0,1200.0,25.0,325,6898,8332539.0
2016-01-04,1235.0,1172.0,1195.0,1225.0,-30.0,162,3188,3853176.0
2016-01-05,1200.0,1170.0,1184.0,1195.0,-11.0,314,4100,4824598.0
2016-01-06,1190.0,1105.0,1136.0,1184.0,-48.0,289,3875,4451058.0
2016-01-07,1155.0,1120.0,1136.0,1136.0,,128,1902,2159761.0
2016-01-10,1175.0,1130.0,1175.0,1136.0,39.0,277,6088,7061038.0
2016-01-11,1175.0,1130.0,1161.0,1175.0,-14.0,338,5645,6537069.0
2016-01-12,1208.0,1100.0,1201.0,1161.0,40.0,572,7670,8902409.0
2016-01-13,1250.0,1195.0,1228.0,1201.0,27.0,293,10301,12567083.0
2016-01-14,1275.0,1200.0,1249.0,1228.0,21.0,422,7928,9768681.0
2016-01-31,1373.0,1273.0,1373.0,1249.0,124.0,5,100,132320.0
2016-02-01,1505.0,1400.0,1503.0,1373.0,130.0,14,1240,1851800.0
2016-02-02,1500.0,1475.0,1475.0,1503.0,-28.0,8,753,1121125.0
2016-02-03,1479.0,1450.0,1470.0,1475.0,-5.0,5,332,486240.0
2016-02-04,1442.0,1415.0,1440.0,1470.0,-30.0,8,810,1161140.0
2016-02-07,1468.0,1412.0,1412.0,1440.0,-28.0,6,550,795650.0
2016-02-14,1439.0,1439.0,1439.0,1412.0,27.0,1,400,575600.0
