date,high,low,close,previous,diff,numtrans,tradedshares,volume
2018-06-14,,,,,,2,10,3100.0
2018-06-20,312.0,312.0,312.0,,312.0,1,10,3120.0
2018-06-24,,,,312.0,,1,338,473200.0
2018-06-25,327.0,327.0,327.0,312.0,15.0,1,10,3270.0
2018-06-27,343.0,343.0,343.0,327.0,16.0,1,10,3430.0
2018-07-25,360.0,360.0,360.0,343.0,17.0,5,40,14470.0
2018-07-30,381.0,367.0,381.0,360.0,21.0,3,30,11220.0
2018-08-02,388.0,388.0,388.0,381.0,7.0,1,10,3880.0
2018-08-23,402.0,395.0,402.0,388.0,14.0,2,20,7970.0
2018-08-30,422.0,422.0,422.0,402.0,20.0,1,10,4220.0
2018-09-03,430.0,430.0,430.0,422.0,8.0,1,10,4300.0
2018-09-13,472.0,438.0,472.0,430.0,42.0,5,50,22730.0
2018-09-16,481.0,481.0,481.0,472.0,9.0,1,10,4810.0
2018-10-03,490.0,490.0,490.0,481.0,9.0,1,10,4900.0
2018-10-08,499.0,499.0,499.0,490.0,9.0,1,10,4990.0
2018-10-09,533.0,523.0,533.0,499.0,34.0,2,20,10560.0
2018-10-10,543.0,543.0,543.0,533.0,10.0,1,10,5430.0
2018-10-11,564.0,553.0,564.0,543.0,21.0,2,20,11170.0
2018-10-14,597.0,575.0,597.0,564.0,33.0,3,30,17580.0
2018-10-15,608.0,608.0,608.0,597.0,11.0,1,10,6080.0
2018-10-22,632.0,620.0,632.0,608.0,24.0,2,20,12520.0
2018-10-24,656.0,644.0,656.0,632.0,24.0,2,110,70960.0
2018-10-28,695.0,669.0,695.0,656.0,39.0,3,30,20460.0
2018-10-29,708.0,708.0,708.0,695.0,13.0,1,10,7080.0
2018-10-30,778.0,722.0,778.0,708.0,70.0,5,50,37510.0
2018-10-31,855.0,793.0,855.0,778.0,77.0,146,2410,2059000.0
2018-11-01,889.0,786.0,790.0,855.0,-65.0,505,6470,5233640.0
2018-11-04,775.0,733.0,756.0,790.0,-34.0,109,1107,839452.0
2018-11-05,775.0,744.0,756.0,756.0,,56,740,562370.0
2018-11-06,760.0,756.0,756.0,756.0,,3,30,22720.0
2018-11-11,756.0,715.0,721.0,756.0,-37.0,35,360,260720.0
2018-11-12,721.0,690.0,691.0,721.0,-30.0,63,830,580940.0
2018-11-13,714.0,679.0,701.0,691.0,10.0,50,570,398690.0
2018-11-14,729.0,696.0,714.0,701.0,13.0,69,830,586360.0
2018-11-15,714.0,696.0,701.0,714.0,-13.0,28,280,197290.0
2018-11-18,708.0,696.0,696.0,701.0,-5.0,26,476,332196.0
2018-11-19,696.0,670.0,671.0,696.0,-25.0,48,1034,701752.0
2018-11-20,671.0,659.0,660.0,671.0,-11.0,41,450,297660.0
2018-11-21,660.0,650.0,651.0,660.0,-9.0,28,290,189570.0
2018-11-22,655.0,631.0,638.0,651.0,-13.0,68,700,447150.0
2018-11-25,638.0,615.0,619.0,638.0,-19.0,32,410,256900.0
2018-11-26,619.0,584.0,584.0,619.0,-35.0,36,360,218290.0
2018-11-27,584.0,565.0,565.0,584.0,-19.0,26,260,149350.0
2018-11-28,576.0,540.0,540.0,565.0,-25.0,35,440,244550.0
2018-11-29,541.0,511.0,541.0,540.0,1.0,22,220,115590.0
2018-12-02,541.0,520.0,530.0,541.0,-11.0,16,180,95520.0
2018-12-03,540.0,521.0,540.0,530.0,10.0,13,130,68980.0
2018-12-04,540.0,530.0,530.0,540.0,-10.0,5,90,48200.0
2018-12-05,539.0,526.0,526.0,530.0,-4.0,22,360,191940.0
2018-12-06,545.0,526.0,535.0,526.0,9.0,7,210,112850.0
2018-12-09,535.0,520.0,530.0,535.0,-5.0,5,50,26400.0
2018-12-10,561.0,530.0,561.0,530.0,31.0,5,67,36800.0
2018-12-11,561.0,510.0,530.0,561.0,-31.0,7,70,36700.0
2018-12-12,540.0,520.0,525.0,530.0,-5.0,4,40,21150.0
2018-12-13,530.0,515.0,530.0,525.0,5.0,9,470,248500.0
2018-12-16,572.0,530.0,560.0,530.0,30.0,12,160,89330.0
2018-12-17,615.0,560.0,603.0,560.0,43.0,19,467,274744.0
2018-12-18,615.0,581.0,581.0,603.0,-22.0,16,340,203420.0
2018-12-19,639.0,565.0,615.0,581.0,34.0,41,860,522030.0
2018-12-20,627.0,600.0,600.0,615.0,-15.0,24,608,370708.0
2018-12-23,620.0,586.0,618.0,600.0,18.0,41,860,520880.0
2018-12-24,618.0,583.0,594.0,618.0,-24.0,20,280,167520.0
2018-12-25,600.0,583.0,600.0,594.0,6.0,10,260,153510.0
2018-12-26,625.0,577.0,625.0,600.0,25.0,26,627,381674.0
2018-12-27,625.0,595.0,596.0,625.0,-29.0,15,510,305060.0
2018-12-30,604.0,581.0,586.0,596.0,-10.0,14,490,287800.0
2018-12-31,586.0,567.0,567.0,586.0,-19.0,17,665,381705.0
2019-01-01,599.0,567.0,570.0,567.0,3.0,21,330,190260.0
2019-01-02,590.0,561.0,575.0,570.0,5.0,35,946,546444.0
2019-01-03,581.0,570.0,575.0,575.0,,16,497,284631.0
2019-01-06,575.0,557.0,559.0,575.0,-16.0,17,700,392440.0
2019-01-07,580.0,559.0,563.0,559.0,4.0,7,460,259750.0
2019-01-08,572.0,560.0,572.0,563.0,9.0,15,160,90280.0
2019-01-09,578.0,565.0,578.0,572.0,6.0,11,110,62760.0
2019-01-10,595.0,578.0,582.0,578.0,4.0,28,785,460020.0
2019-01-13,583.0,563.0,583.0,582.0,1.0,7,70,40270.0
2019-01-14,591.0,572.0,590.0,583.0,7.0,13,130,75920.0
2019-01-15,605.0,582.0,583.0,590.0,-7.0,14,1230,737410.0
2019-01-16,595.0,578.0,595.0,583.0,12.0,14,190,111800.0
2019-01-17,617.0,584.0,610.0,595.0,15.0,25,1228,738166.0
2019-01-20,610.0,599.0,600.0,610.0,-10.0,15,250,149880.0
2019-01-21,612.0,582.0,582.0,600.0,-18.0,27,350,207100.0
2019-01-22,599.0,572.0,594.0,582.0,12.0,26,350,205200.0
2019-01-23,620.0,589.0,620.0,594.0,26.0,55,1285,780800.0
2019-01-24,620.0,588.0,594.0,620.0,-26.0,25,280,168360.0
2019-01-27,600.0,584.0,590.0,594.0,-4.0,30,735,434960.0
2019-01-28,624.0,590.0,606.0,590.0,16.0,40,760,460910.0
2019-01-29,629.0,600.0,615.0,606.0,9.0,53,1190,728775.0
2019-01-30,635.0,610.0,626.0,615.0,11.0,51,1110,689820.0
2019-01-31,640.0,614.0,635.0,626.0,9.0,42,1197,752749.0
2019-02-03,635.0,623.0,625.0,635.0,-10.0,19,540,338790.0
2019-02-04,628.0,612.0,628.0,625.0,3.0,20,445,276125.0
2019-02-05,629.0,620.0,628.0,628.0,,17,280,175230.0
2019-02-06,628.0,606.0,618.0,628.0,-10.0,22,280,171790.0
2019-02-07,620.0,607.0,610.0,618.0,-8.0,15,150,91710.0
2019-02-10,615.0,600.0,606.0,610.0,-4.0,28,290,175640.0
2019-02-11,610.0,600.0,606.0,606.0,,10,100,60530.0
2019-02-12,639.0,598.0,604.0,606.0,-2.0,27,380,235250.0
2019-02-13,624.0,601.0,605.0,604.0,1.0,19,350,215940.0
2019-02-14,605.0,554.0,554.0,605.0,-51.0,64,2225,1275105.0
2019-02-17,555.0,548.0,548.0,554.0,-6.0,23,425,233870.0
2019-02-18,550.0,532.0,550.0,548.0,2.0,20,200,108590.0
2019-02-19,576.0,550.0,576.0,550.0,26.0,8,80,44710.0
2019-02-20,576.0,540.0,545.0,576.0,-31.0,25,480,268740.0
2019-02-21,555.0,542.0,547.0,545.0,2.0,20,220,120400.0
2019-02-24,554.0,530.0,532.0,547.0,-15.0,22,310,166410.0
2019-02-25,544.0,525.0,544.0,532.0,12.0,15,230,123490.0
2019-02-26,554.0,535.0,535.0,544.0,-9.0,9,140,76320.0
2019-02-27,550.0,515.0,550.0,535.0,15.0,13,160,85530.0
2019-03-03,550.0,530.0,530.0,550.0,-20.0,13,170,90800.0
2019-03-05,531.0,524.0,526.0,530.0,-4.0,12,120,63260.0
2019-03-06,555.0,516.0,555.0,526.0,29.0,11,640,339810.0
2019-03-07,571.0,526.0,571.0,555.0,16.0,24,370,204600.0
2019-03-10,571.0,549.0,559.0,571.0,-12.0,4,60,33350.0
2019-03-11,566.0,549.0,566.0,559.0,7.0,25,575,318230.0
2019-03-12,579.0,559.0,579.0,566.0,13.0,13,600,344670.0
2019-03-13,579.0,557.0,557.0,579.0,-22.0,5,70,39540.0
